wave,flux
201.0,46.62418
202.0,45.07656
203.0,34.16458
204.0,33.85745
205.0,42.2289
206.0,7.587543
207.0,20.60199
208.0,21.73814
209.0,12.52661
210.0,14.21741
211.0,22.03963
212.0,13.11866
213.0,8.131631
214.0,9.646514
215.0,22.67377
216.0,13.85828
217.0,31.79935
218.0,22.77449
219.0,27.12692
220.0,39.66423
221.0,32.78813
222.0,31.3103
223.0,38.19789
224.0,33.90267
225.0,30.75811
226.0,38.14857
227.0,41.18844
228.0,94.53598
229.0,83.22695
230.0,41.68416
231.0,28.78879
232.0,22.15027
233.0,14.67277
234.0,451.7575
235.0,560.8683
236.0,709.3754
237.0,922.3964
238.0,1229.861
239.0,2482.285
240.0,1501.929
241.0,8653.747
242.0,10004.6
243.0,85.83407
244.0,2287.016
245.0,2981.161
246.0,3944.133
247.0,5319.235
248.0,7324.543
249.0,10315.85
250.0,14422.71
251.0,16316.11
252.0,18533.85
253.0,21059.83
254.0,23753.96
255.0,10192.51
256.0,2527.08
257.0,19563.67
258.0,53092.13
259.0,18758.67
260.0,7569.0
261.0,3808.112
262.0,25724.88
263.0,25189.27
264.0,25099.17
265.0,24472.66
266.0,24286.19
267.0,24249.3
268.0,24182.88
269.0,25025.95
270.0,27085.27
271.0,22662.99
272.0,39013.12
273.0,34789.1
274.0,30154.6
275.0,27069.99
276.0,24015.99
277.0,21074.86
278.0,1071.931
279.0,1505.521
280.0,2752.159
281.0,4386.326
282.0,28094.37
283.0,25620.62
284.0,23918.82
285.0,22847.16
286.0,21698.53
287.0,26910.49
288.0,17638.87
289.0,11674.19
290.0,937.6502
291.0,1234.284
292.0,1803.937
293.0,3397.229
294.0,1078.632
295.0,1650.407
296.0,3094.753
297.0,2588.527
298.0,3671.872
299.0,70683.52
300.0,20729.89
301.0,18246.49
302.0,16253.35
303.0,15370.85
304.0,13286.12
305.0,46383.21
306.0,53443.3
307.0,9965.987
308.0,3100.68
309.0,5156.835
310.0,16791.5
311.0,33042.62
312.0,2007.897
313.0,7077.524
314.0,37284.74
315.0,36430.57
316.0,36149.74
317.0,38566.89
318.0,46136.29
319.0,49428.95
320.0,75117.22
321.0,53305.11
322.0,34139.44
323.0,38140.92
324.0,86154.56
325.0,68564.65
326.0,36826.12
327.0,53027.61
328.0,78742.67
329.0,64513.4
330.0,51747.24
331.0,53436.31
332.0,57260.06
333.0,48340.4
334.0,34126.56
335.0,24299.67
336.0,32633.52
337.0,61391.07
338.0,117923.0
339.0,98382.1
340.0,74427.12
341.0,58935.58
342.0,47207.73
343.0,40261.72
