WAVE FLUX
900.0 7133.319
901.0 7122.755
902.0 7142.424
903.0 7182.265
904.0 7286.322
905.0 7143.213
906.0 7135.496
907.0 7188.29
908.0 7149.989
909.0 8839.78
910.0 7131.094
911.0 7458.994
912.0 121313.2
913.0 101621.0
914.0 118730.7
915.0 119185.3
916.0 58237.42
917.0 114181.3
918.0 105088.7
919.0 54917.54
920.0 116573.4
921.0 6709.203
922.0 52946.1
923.0 43729.89
924.0 90272.01
925.0 97392.77
926.0 99768.21
927.0 119129.5
928.0 120836.9
929.0 43909.13
930.0 35070.83
931.0 71720.52
932.0 112982.1
933.0 120332.3
934.0 125808.0
935.0 119422.7
936.0 116372.9
937.0 83677.72
938.0 15264.03
939.0 118158.7
940.0 121961.6
941.0 126063.9
942.0 127766.9
943.0 124002.1
944.0 126620.3
945.0 122069.2
946.0 124018.8
947.0 117691.8
948.0 81389.56
949.0 31535.16
950.0 13581.35
951.0 110019.5
952.0 119521.5
953.0 124195.4
954.0 120688.1
955.0 84714.35
956.0 132802.7
957.0 129919.3
958.0 131641.3
959.0 99962.42
960.0 135842.7
961.0 139477.3
962.0 132406.4
963.0 135557.7
964.0 114632.2
965.0 136318.1
966.0 132318.3
967.0 100639.1
968.0 123307.5
969.0 120287.2
970.0 113693.8
971.0 106132.9
972.0 86766.58
973.0 57736.62
974.0 27089.39
975.0 37863.04
976.0 65673.93
977.0 133605.3
978.0 144757.8
979.0 133111.2
980.0 123976.7
981.0 79911.77
982.0 134034.3
983.0 134088.4
984.0 127369.8
985.0 124756.6
986.0 95297.1
987.0 116646.7
988.0 105335.3
989.0 83380.48
990.0 86938.77
991.0 90095.32
992.0 158791.6
993.0 137028.5
994.0 131446.0
995.0 67756.03
996.0 130876.2
997.0 67639.44
998.0 113720.2
999.0 132574.4
1000.0 136921.1
1001.0 109385.4
1002.0 132335.3
1003.0 129204.4
1004.0 136245.0
1005.0 132816.4
1006.0 100800.8
1007.0 119838.2
1008.0 130852.3
1009.0 120001.1
1010.0 55961.07
1011.0 127658.2
1012.0 113148.6
1013.0 118014.8
1014.0 126660.9
1015.0 125107.3
1016.0 77607.03
1017.0 118868.0
1018.0 91528.69
1019.0 116658.2
1020.0 77990.08
1021.0 98731.41
1022.0 105763.7
1023.0 79321.19
1024.0 98958.92
1025.0 79603.7
1026.0 13498.4
1027.0 87617.21
1028.0 99648.74
1029.0 101080.9
1030.0 85691.05
1031.0 47397.44
1032.0 106871.3
1033.0 108882.9
1034.0 83234.84
1035.0 105932.8
1036.0 96181.38
1037.0 45338.51
1038.0 107914.9
1039.0 119422.3
1040.0 116783.7
1041.0 123761.8
1042.0 127097.9
1043.0 128967.9
1044.0 128910.5
1045.0 127606.4
1046.0 128282.3
1047.0 129246.9
1048.0 128910.5
1049.0 128160.1
1050.0 127069.5
1051.0 123482.5
1052.0 126638.8
1053.0 125438.6
1054.0 125754.7
1055.0 119003.2
1056.0 121918.3
1057.0 123955.1
1058.0 125692.9
1059.0 118887.4
1060.0 114488.6
1061.0 90677.08
1062.0 84864.79
1063.0 70295.96
1064.0 119323.6
1065.0 119767.7
1066.0 96526.11
1067.0 117173.1
1068.0 115906.0
1069.0 60565.57
1070.0 118592.3
1071.0 108040.2
1072.0 110327.5
1073.0 108497.4
1074.0 109673.5
1075.0 117220.2
1076.0 120489.4
1077.0 120331.3
1078.0 82347.05
1079.0 121312.1
1080.0 121231.2
1081.0 121586.2
1082.0 119047.3
1083.0 98544.88
1084.0 107737.4
1085.0 99419.53
1086.0 110146.7
1087.0 115190.9
1088.0 101441.6
1089.0 85015.68
1090.0 95078.52
1091.0 118053.5
1092.0 116064.1
1093.0 112810.4
1094.0 118180.1
1095.0 116321.4
1096.0 110930.8
1097.0 96202.49
1098.0 74846.69
1099.0 115932.3
1100.0 115869.9
1101.0 116182.3
1102.0 116735.2
1103.0 115315.4
1104.0 96732.84
1105.0 115892.3
1106.0 114542.1
1107.0 111812.9
1108.0 90401.9
1109.0 100818.0
1110.0 107312.6
1111.0 107890.0
1112.0 107214.3
1113.0 107773.9
1114.0 108998.7
1115.0 111560.1
1116.0 112278.4
1117.0 106456.1
1118.0 111269.4
1119.0 108281.0
1120.0 111818.5
1121.0 109107.6
1122.0 107639.2
1123.0 107346.5
1124.0 73096.82
1125.0 54901.05
1126.0 104138.5
1127.0 104150.4
1128.0 71426.85
1129.0 53612.32
1130.0 75273.84
1131.0 105443.5
1132.0 107614.6
1133.0 108764.8
1134.0 109269.5
1135.0 106647.2
1136.0 110461.6
1137.0 109597.9
1138.0 107993.9
1139.0 83213.57
1140.0 92646.36
1141.0 103073.8
1142.0 84614.13
1143.0 102867.0
1144.0 91685.43
1145.0 66549.19
1146.0 104944.5
1147.0 104931.7
1148.0 105712.1
1149.0 105161.4
1150.0 104604.3
1151.0 103708.5
1152.0 103713.7
1153.0 100668.1
1154.0 98996.3
1155.0 97702.27
1156.0 100460.4
1157.0 100525.8
1158.0 101144.6
1159.0 99644.54
1160.0 99660.86
1161.0 100748.1
1162.0 90346.79
1163.0 102636.3
1164.0 93260.69
1165.0 101727.4
1166.0 98931.88
1167.0 98063.14
1168.0 101445.3
1169.0 95831.0
1170.0 100022.4
1171.0 97977.9
1172.0 96921.18
1173.0 86125.46
1174.0 70068.46
1175.0 50324.97
1176.0 59472.88
1177.0 89652.36
1178.0 97263.76
1179.0 100073.3
1180.0 100366.5
1181.0 98062.24
1182.0 99898.12
1183.0 67799.36
1184.0 82893.67
1185.0 80650.03
1186.0 98537.2
1187.0 97603.7
1188.0 96650.22
1189.0 95314.95
1190.0 93956.82
1191.0 85932.49
1192.0 91514.74
1193.0 90547.39
1194.0 90420.11
1195.0 91684.28
1196.0 91173.41
1197.0 78753.2
1198.0 89053.79
1199.0 89823.65
1200.0 89376.76
1201.0 59563.26
1202.0 58293.74
1203.0 71710.63
1204.0 85359.22
1205.0 82057.68
1206.0 75739.81
1207.0 75802.98
1208.0 74175.95
1209.0 70599.91
1210.0 73527.13
1211.0 73635.16
1212.0 70367.66
1213.0 67104.99
1214.0 65505.31
1215.0 31740.5
1216.0 35399.11
1217.0 64013.04
1218.0 58187.49
1219.0 70158.73
1220.0 68295.17
1221.0 74635.9
1222.0 76417.64
1223.0 69332.63
1224.0 79246.2
1225.0 79181.9
1226.0 80632.25
1227.0 81346.62
1228.0 79184.68
1229.0 82035.44
1230.0 82668.56
1231.0 84253.1
1232.0 85331.13
1233.0 85547.81
1234.0 85914.76
1235.0 86418.69
1236.0 86753.06
1237.0 86770.61
1238.0 87227.49
1239.0 87870.73
1240.0 88793.08
1241.0 89527.64
1242.0 89897.17
1243.0 90507.45
1244.0 90834.27
1245.0 89853.71
1246.0 85602.36
1247.0 70314.58
1248.0 85014.12
1249.0 86328.21
1250.0 85979.33
1251.0 84363.41
1252.0 86462.33
1253.0 86836.14
1254.0 87224.27
1255.0 87619.8
1256.0 88002.49
1257.0 87902.06
1258.0 87079.73
1259.0 84417.82
1260.0 82425.51
1261.0 83488.91
1262.0 84410.52
