wave,flux
201.0,1371.405
202.0,1389.878
203.0,1068.714
204.0,1241.055
205.0,1400.567
206.0,736.1876
207.0,678.7894
208.0,916.6467
209.0,716.0498
210.0,512.6069
211.0,877.5175
212.0,678.1123
213.0,599.82
214.0,755.6889
215.0,1074.859
216.0,792.0949
217.0,1209.924
218.0,886.3543
219.0,1014.622
220.0,1326.21
221.0,1061.875
222.0,1091.929
223.0,1155.811
224.0,1137.588
225.0,1064.385
226.0,1397.633
227.0,1315.748
228.0,3828.241
229.0,38337.04
230.0,2931.271
231.0,1173.572
232.0,807.295
233.0,2968.433
234.0,1613.216
235.0,1584.084
236.0,22361.6
237.0,4266.264
238.0,6025.141
239.0,15384.1
240.0,4853.311
241.0,36845.07
242.0,20050.48
243.0,28251.4
244.0,21916.22
245.0,33192.09
246.0,38157.63
247.0,21823.95
248.0,23216.82
249.0,38475.87
250.0,46667.26
251.0,29671.14
252.0,56366.68
253.0,43575.58
254.0,69023.05
255.0,52810.2
256.0,12399.73
257.0,54732.35
258.0,80636.9
259.0,41762.75
260.0,39833.87
261.0,60376.72
262.0,38454.14
263.0,58825.8
264.0,46714.03
265.0,38597.63
266.0,44555.44
267.0,48156.7
268.0,42620.67
269.0,59765.47
270.0,50693.52
271.0,41689.92
272.0,60459.77
273.0,58181.03
274.0,81607.53
275.0,72700.17
276.0,76060.93
277.0,58133.91
278.0,38107.43
279.0,37886.92
280.0,49165.86
281.0,58900.43
282.0,65769.06
283.0,64979.06
284.0,58549.42
285.0,58925.65
286.0,41700.65
287.0,62695.09
288.0,41526.12
289.0,63700.98
290.0,28633.33
291.0,45802.57
292.0,31526.2
293.0,35485.64
294.0,35509.32
295.0,40341.66
296.0,40268.32
297.0,65871.06
298.0,54902.58
299.0,66684.98
300.0,48671.86
301.0,55664.99
302.0,40697.82
303.0,38256.66
304.0,51396.62
305.0,211453.4
306.0,188524.4
307.0,120522.5
308.0,84060.32
309.0,63845.67
310.0,89385.92
311.0,74451.63
312.0,55289.67
313.0,33610.37
314.0,68361.29
315.0,76960.2
316.0,60564.04
317.0,50629.99
318.0,63065.13
319.0,75952.19
320.0,67046.41
321.0,81729.34
322.0,77206.67
323.0,49375.54
324.0,105483.3
325.0,94805.67
326.0,103189.4
327.0,89568.42
328.0,102502.9
329.0,91248.81
330.0,89947.64
331.0,67598.97
332.0,72602.88
333.0,61615.51
334.0,74285.13
335.0,62178.7
336.0,43494.66
337.0,83829.14
338.0,94082.46
339.0,94231.43
340.0,87005.7
341.0,106365.4
342.0,84144.85
343.0,84003.25
344.0,48782.27
345.0,53503.31
346.0,73662.47
347.0,82110.06
348.0,71352.58
349.0,48264.67
350.0,46581.93
351.0,79477.11
352.0,72682.61
353.0,55948.6
354.0,49590.72
355.0,66284.82
356.0,57514.22
357.0,55037.46
358.0,75033.18
359.0,68208.68
360.0,85148.18
361.0,73111.52
362.0,46213.33
363.0,61933.96
364.0,38997.87
365.0,57330.67
366.0,53630.52
367.0,56044.7
368.0,82198.21
369.0,86656.3
370.0,93690.52
371.0,88376.13
372.0,70168.45
373.0,76955.9
374.0,49346.53
375.0,47984.16
376.0,75719.04
