WAVE,FLUX
900.0,1.1990298636674897e+39
900.44,1.207730405164422e+39
900.88,1.177036688197225e+39
901.32,1.2404806665904643e+39
901.77,1.1964650033390324e+39
902.21,1.3639548675066334e+39
902.65,1.2614208350084614e+39
903.09,1.2447152199935782e+39
903.54,1.2759980185914969e+39
903.98,1.2110721021961608e+39
904.42,1.2140036710136634e+39
904.87,1.2630193378301168e+39
905.31,1.3160730623858862e+39
905.75,1.272154914487671e+39
906.2,1.167347076492192e+39
906.64,1.4120822697032373e+39
907.09,1.4382686029016105e+39
907.53,1.2609271617385578e+39
907.98,1.2543536560928367e+39
908.42,1.2489642286340904e+39
908.87,1.2614498806309763e+39
909.31,1.2520451781085137e+39
909.76,1.2145908357805791e+39
910.21,1.2296457129594572e+39
910.65,1.2511805945906131e+39
911.1,1.2230099772446463e+39
911.54,1.2760861644564082e+39
911.99,3.970361034473305e+39
912.44,3.2377998603696886e+39
912.89,3.868922230298901e+39
913.33,2.9183004358317886e+39
913.78,3.9988029147864606e+39
914.23,2.7994969585379737e+39
914.68,3.9546677293259024e+39
915.13,3.862513407925493e+39
915.58,3.640239853264539e+39
916.02,3.7181764857064977e+39
916.47,3.542582720823355e+39
916.92,3.72537503598694e+39
917.37,3.563772727637201e+39
917.82,3.302174352670757e+39
918.27,3.367363499074494e+39
918.72,1.893694858330183e+39
919.17,1.7529922658353926e+39
919.62,2.038308896389131e+39
920.08,2.468993803654704e+39
920.53,2.4542002725364682e+39
920.98,6.622165037017588e+38
921.43,1.455123987324244e+39
921.88,1.2922900485617275e+39
922.33,2.5985435516174894e+39
922.78,2.6789215756605635e+39
923.24,1.9430769503131315e+39
923.69,2.0017968430187278e+39
924.14,3.347957991147129e+39
924.6,4.770127638555437e+39
925.05,4.071083405583141e+39
925.5,4.021517843405687e+39
925.96,3.988320033570714e+39
926.41,2.108725258084151e+39
926.87,3.112432918767497e+39
927.32,2.7838767247807256e+39
927.78,2.7335058017490504e+39
928.23,2.5404461875784393e+39
928.68,1.7916781607935407e+39
929.14,1.1923122335661457e+39
929.6,1.8529342117114045e+39
930.05,1.2795580694268995e+39
930.51,2.352122844892081e+39
930.97,2.0542344113736206e+39
