WAVE FLUX
900.0 4.787292903872302e+38
900.44 4.750507411584477e+38
900.88 4.782224939645408e+38
901.32 4.775512651998022e+38
901.77 4.625940047661589e+38
902.21 4.786521345604874e+38
902.65 4.780683580916378e+38
903.09 4.780133216061128e+38
903.54 4.7578418275074654e+38
903.98 3.853008791908299e+38
904.42 4.456459869012997e+38
904.87 4.764748697417941e+38
905.31 4.7357634350150294e+38
905.75 4.7782624494384e+38
906.2 4.5598441578327764e+38
906.64 4.788064586510251e+38
907.09 4.7911525611681996e+38
907.53 4.777602353684007e+38
907.98 4.776942349118991e+38
908.42 4.776502396730148e+38
908.87 4.848863963393743e+38
909.31 4.81293503932487e+38
909.76 4.7553227674032254e+38
910.21 4.775622613506392e+38
910.65 4.857021210151046e+38
911.1 4.76661417318934e+38
911.54 4.839717365105974e+38
911.99 2.5302299959342287e+39
912.44 2.3941425211519264e+39
912.89 2.4858790826298324e+39
913.33 2.1692020190687252e+39
913.78 2.5244687558013393e+39
914.23 1.8510152636424792e+39
914.68 2.4978709659409543e+39
915.13 2.4913801505887717e+39
915.58 2.4001589294367464e+39
916.02 2.4185774536734602e+39
916.47 2.4020386990151352e+39
916.92 2.436351805766456e+39
917.37 2.4295173228516645e+39
917.82 2.3880312185880233e+39
918.27 2.4711550750182036e+39
918.72 1.6500230076989977e+39
919.17 2.0281496644785654e+39
919.62 2.084634879599702e+39
920.08 2.3894612943408157e+39
920.53 2.3950798664664668e+39
920.98 3.418298622504946e+38
921.43 1.0792448874176156e+39
921.88 1.4281045406726118e+39
922.33 2.3453086212002593e+39
922.78 2.3044113202541602e+39
923.24 1.2914571469019013e+39
923.69 1.2568110777633294e+39
924.14 1.6722838669173544e+39
924.6 2.5737123113613208e+39
925.05 2.4004352738527008e+39
925.5 2.4323160187868142e+39
925.96 2.4677434053558452e+39
926.41 1.1671589375364375e+39
926.87 2.477878457675923e+39
927.32 2.4147935101502326e+39
927.78 2.353639803489101e+39
928.23 2.1763563153616447e+39
928.68 2.0280562668854686e+39
929.14 1.6877184574248033e+39
929.6 2.1466932959194475e+39
