WAVE FLUX
900.0 2.8539517841119644e+38
900.44 2.8540679594757114e+38
900.88 2.8544478047390194e+38
901.32 3.2235950802333385e+38
901.77 3.2008037910008095e+38
902.21 3.681691803265268e+38
902.65 3.3796817637926092e+38
903.09 3.1772704664832466e+38
903.54 3.194057673342004e+38
903.98 3.156561837502644e+38
904.42 2.8701553847373397e+38
904.87 3.2828142849861462e+38
905.31 3.4961287823848344e+38
905.75 3.579633212218873e+38
906.2 3.464730296088193e+38
906.64 3.91309633989413e+38
907.09 4.07949386156483e+38
907.53 3.193589357061327e+38
907.98 3.169724149779238e+38
908.42 3.1347597051790303e+38
908.87 4.164440396529485e+38
909.31 3.683998427734417e+38
909.76 3.084550108675706e+38
910.21 3.0574296357105535e+38
910.65 3.493670208856944e+38
911.1 3.050612256385868e+38
911.54 3.1850220660426746e+38
911.99 2.484223258986637e+39
912.44 1.468432168555465e+39
912.89 2.3544913260559193e+39
913.33 9.065716941344832e+38
913.78 2.5344409477710187e+39
914.23 1.693761263478741e+39
914.68 2.3526764963519328e+39
915.13 2.275737832002405e+39
915.58 1.7682034871193917e+39
916.02 1.9196980356550274e+39
916.47 1.655618097144348e+39
916.92 2.380960398802859e+39
917.37 2.0442508128184386e+39
917.82 1.7762994690084376e+39
918.27 2.3766114914426383e+39
918.72 8.41511778847908e+38
919.17 6.7184982087733574e+38
919.62 1.1020830838677609e+39
920.08 1.7769958076523397e+39
920.53 1.862081315700212e+39
920.98 2.987245264955775e+38
921.43 1.0659654296396417e+39
921.88 8.01079022215213e+38
922.33 1.8137924828986058e+39
922.78 1.841876576244183e+39
923.24 1.2032712713761832e+39
923.69 1.2212560337777599e+39
924.14 2.080797880809184e+39
924.6 2.927203525566162e+39
925.05 1.8176325599778738e+39
925.5 2.0393852218877644e+39
925.96 2.380636650496132e+39
926.41 1.0049793748264611e+39
926.87 2.2871310484304403e+39
927.32 1.8271116336723874e+39
927.78 2.0610047062453552e+39
928.23 1.855423344951663e+39
928.68 7.801661333857542e+38
929.14 5.3141195774666695e+38
929.6 8.653973306322226e+38
930.05 5.4609714405851674e+38
930.51 1.6588386048163047e+39
930.97 1.3326569305764281e+39
931.42 1.703619945517103e+39
931.88 1.8139992610251928e+39
932.34 1.972794246152057e+39
932.79 2.21608592193636e+39
933.25 2.2475599335451632e+39
933.71 2.9399907775112677e+39
934.16 2.894348153822297e+39
934.62 2.2589439575106597e+39
935.08 2.328121309753142e+39
935.54 2.388307622037131e+39
936.0 2.380646560290382e+39
936.46 2.538163425511988e+39
936.92 1.2059081773978562e+39
937.38 1.355935085845351e+39
937.84 3.403090956721705e+38
938.3 2.2758786367869495e+39
938.76 2.0137006610063705e+39
939.22 1.9861897026145514e+39
939.68 1.938905038544377e+39
940.14 1.959892957726299e+39
