WAVE,FLUX
900.0,2.218656150174991e+37
900.44,2.1059594274945267e+37
900.88,2.181624489154369e+37
901.32,2.2346010577312396e+37
901.77,2.20541335428898e+37
902.21,2.23774193205605e+37
902.65,2.2193714757065617e+37
903.09,2.2407840267860597e+37
903.54,2.0806546433822726e+37
903.98,3.0514060291410214e+37
904.42,1.9957677477142031e+37
904.87,2.243623602199817e+37
905.31,2.5650745987774847e+37
905.75,2.4014303772224627e+37
906.2,2.25875954082995e+37
906.64,2.477821403072784e+37
907.09,2.719693729739844e+37
907.53,2.2579275363326677e+37
907.98,2.2669398661932776e+37
908.42,2.2616218952474485e+37
908.87,5.346874615616048e+37
909.31,4.1505915731496796e+37
909.76,2.2979469583505744e+37
910.21,2.2730552917207265e+37
910.65,3.8554937194383267e+37
911.1,2.2731599721956665e+37
911.54,2.2739975895635366e+37
911.99,7.054723551000088e+38
912.44,3.739469539908366e+38
912.89,6.730851360476824e+38
913.33,1.354409527106813e+38
913.78,7.26741565353788e+38
914.23,5.405675852694423e+38
914.68,7.248864804737632e+38
915.13,6.195979896843525e+38
915.58,3.5715768555775705e+38
916.02,3.957764967595856e+38
916.47,4.072114677936024e+38
916.92,6.808163861993094e+38
917.37,5.698230329801548e+38
917.82,4.3330130796564416e+38
918.27,7.101171477150899e+38
918.72,2.0471987136885253e+38
919.17,1.5329217983951046e+38
919.62,3.8815036599064706e+38
920.08,6.4885850263799935e+38
920.53,6.928991044149029e+38
920.98,1.7132865282688437e+37
921.43,4.141140829626408e+38
921.88,1.6477070503377004e+38
922.33,6.97188155034297e+38
922.78,6.864201123378466e+38
923.24,2.287230849361773e+38
923.69,2.482847240487987e+38
924.14,5.6257444447240126e+38
924.6,7.131813866797416e+38
925.05,3.644013690992436e+38
925.5,5.0923705748431834e+38
925.96,6.244245938031338e+38
926.41,1.6187880882397622e+38
926.87,7.16209372496167e+38
927.32,5.9028262509718086e+38
927.78,6.958730222458154e+38
928.23,6.7745429420829615e+38
928.68,2.2534088726990524e+38
929.14,9.966897684035592e+37
929.6,2.583449639258471e+38
930.05,6.358138734766755e+37
930.51,5.5347753745715865e+38
930.97,4.070239831557619e+38
931.42,5.9481238131603874e+38
931.88,6.166233977645087e+38
932.34,6.159848061345871e+38
932.79,6.3181509844413265e+38
933.25,5.80550495411191e+38
933.71,7.234691220678096e+38
934.16,7.309202599418481e+38
934.62,5.535540084870982e+38
935.08,5.96458181372553e+38
935.54,6.143134160185265e+38
936.0,6.215699354110687e+38
936.46,6.675595296611172e+38
936.92,2.1142191391666798e+38
937.38,4.1473434340690216e+38
937.84,2.0275893434313104e+37
938.3,6.828730918866103e+38
938.76,6.565079657854095e+38
939.22,6.687287580093623e+38
939.68,6.501746012622425e+38
940.14,6.646913085322293e+38
940.6,6.616982712359473e+38
941.06,6.6880575268492206e+38
941.52,6.359163628244095e+38
941.98,6.181160206411738e+38
942.45,3.746450509889899e+38
942.91,5.0161440528085514e+38
943.37,4.096472087366445e+38
943.83,5.360681440980621e+38
944.29,6.1898482213587096e+38
944.76,4.452562250771692e+38
945.22,6.330674729287835e+38
945.68,4.8174808836767166e+38
946.15,6.781722265874154e+38
946.61,3.2849593521465082e+38
947.08,6.791410785315715e+38
947.54,7.011161967038443e+38
948.01,2.090451037647361e+38
948.47,5.5573787998173564e+38
948.93,1.2423958727705482e+38
949.4,3.3252170601531222e+38
949.87,2.1185562525047048e+37
950.33,1.1365014652986061e+38
950.8,4.698075588834034e+38
951.26,4.459333981275141e+38
951.73,6.882559902933153e+38
952.2,6.883035349749378e+38
952.66,6.7415537271225535e+38
953.13,6.86767919382496e+38
953.6,6.295206779396075e+38
954.07,4.380059397869502e+38
954.53,6.451341028178548e+38
955.0,1.442812844740487e+38
955.47,6.523489985248771e+38
955.94,6.370888436175297e+38
956.41,3.0262165357633354e+38
956.88,4.183502183561703e+38
957.35,5.760762886554949e+38
957.82,6.099861861274121e+38
958.28,5.614485958158196e+38
958.76,2.4646201793858382e+38
959.23,6.078690057764958e+38
959.7,6.164246539018374e+38
960.17,5.953467676094697e+38
960.64,6.611043274946293e+38
961.11,6.4070778356412375e+38
961.58,5.667088567234484e+38
962.05,4.8546731999053326e+38
962.52,6.5859738198631074e+38
962.99,5.966779651704639e+38
963.47,6.629488170464105e+38
963.94,2.2502460083981e+38
964.41,5.058130150939376e+38
964.89,6.3651698942388e+38
965.36,6.521237240687145e+38
965.83,5.85099867821079e+38
966.31,5.697049592730167e+38
966.78,3.7718985211572664e+38
967.25,1.5077870189368897e+38
967.73,5.569805119243835e+38
968.2,6.211836267369376e+38
968.68,6.353163029848392e+38
969.15,6.366489102003704e+38
969.63,4.812491772039409e+38
970.1,6.3264488343593764e+38
970.58,4.8917020881829564e+38
971.05,5.84641984718571e+38
971.53,5.220594962780127e+38
972.01,2.318568866996814e+38
972.48,1.8765926024535708e+37
972.96,5.175234103094658e+38
973.44,3.8454750682887684e+38
973.91,5.018685718192744e+38
974.39,5.2075086498695355e+38
974.87,5.288347681116248e+38
975.35,5.187522578799556e+38
975.83,5.3708126110450744e+38
976.3,5.7186036878345864e+38
976.78,5.477596028794906e+38
977.26,6.828101998468712e+38
977.74,3.969721139454903e+38
978.22,5.74579331899354e+38
978.7,6.218419262603633e+38
979.18,5.826530175506479e+38
979.66,3.2172884510384117e+38
980.14,5.95758160660919e+38
980.62,6.0511790001000266e+38
981.1,1.0811102875620785e+38
981.58,6.1236449177594556e+38
982.07,5.8374073418578184e+38
982.55,5.926113976811932e+38
983.03,5.769922767418225e+38
983.51,1.1723303272957358e+38
983.99,4.621255707940554e+38
984.47,5.566984344709785e+38
984.96,4.334010907663757e+38
985.44,4.993326910288741e+38
985.92,9.671637266500226e+37
986.41,4.9841373287181526e+38
986.89,5.283114218069022e+38
987.38,5.7525446731397556e+38
987.86,5.7594365745833885e+38
988.34,5.63378150850936e+38
988.83,1.6592048174216382e+38
989.31,5.615261681642338e+38
989.8,2.956650565082922e+38
990.28,1.4549899716239282e+38
990.77,1.1410902642583949e+38
991.26,1.4879214340939742e+38
991.74,5.047542681726374e+38
992.23,6.390281650052117e+38
992.72,6.018939805034859e+38
993.2,5.94456390295815e+38
993.69,6.247553732600274e+38
994.18,4.2558861348095104e+38
994.66,1.403847716795162e+38
995.15,1.298374567614818e+38
995.64,6.17404797765103e+38
996.13,5.3227981835375796e+38
996.61,5.1784525360002166e+38
997.1,1.0683412564595886e+38
997.59,1.1719254886625668e+38
998.08,5.751352681528811e+38
998.57,5.752809593711943e+38
999.06,4.825140902293101e+38
999.55,5.818754041887884e+38
1000.04,6.041989970171148e+38
1000.53,4.163130262680664e+38
1001.02,2.2194225792116842e+38
1001.51,5.896713126736793e+38
1002.01,4.4889007167418096e+38
1002.5,3.6879922521240184e+38
1002.99,4.240333353850201e+38
1003.48,6.074772244543038e+38
