WAVE FLUX
94.0 7.257382280173505e+29
96.0 1.4989253344601374e+30
98.0 3.0194650009211155e+30
100.0 5.021228671431325e+30
102.0 9.189248582908974e+30
104.0 1.7131681827158054e+31
106.0 3.046070845946745e+31
108.0 5.327948275641666e+31
110.0 9.754836620887073e+31
114.0 2.4320360041757354e+32
118.0 6.330383197655456e+32
121.0 1.118278563750787e+33
125.0 2.4815898262485356e+33
127.0 2.394087394617782e+33
128.0 1.7802049324061267e+33
131.0 3.0864553595481646e+33
132.0 3.62919246069199e+33
134.0 5.0139500140610163e+33
137.0 7.261059574351499e+33
140.0 1.188091804191893e+34
143.0 1.527671582407734e+34
147.0 2.7660498325604452e+34
151.0 4.756308327698334e+34
155.0 7.875171131398643e+34
159.0 1.1772806339150057e+35
162.0 9.20852348410293e+34
166.0 1.599926382868587e+35
170.0 2.3249306343915425e+35
173.0 3.1606033784706975e+35
177.0 3.896996358753245e+35
180.0 5.556355187092059e+35
182.0 6.137761377199379e+35
186.0 4.81681537006974e+36
191.0 1.4018772888443277e+36
194.0 1.784514166562493e+36
198.0 2.0980701260944694e+36
202.0 2.904892063286268e+36
205.0 3.788436393528533e+36
210.0 5.946754364707625e+36
216.0 7.553008961856034e+36
220.0 8.256766443097702e+36
223.0 1.1559791475130583e+37
227.0 1.4152396908494038e+37
230.0 3.4094160399056716e+38
234.0 5.625485375583447e+37
240.0 4.786190715843596e+37
246.0 2.784325468857519e+39
252.0 2.7837485254716615e+39
257.0 3.551894028227666e+39
260.0 1.6120555383877925e+39
264.0 1.6458490457082022e+39
269.0 1.6192354377190238e+39
274.0 3.8533636834756927e+39
279.0 1.9793381710300984e+39
284.0 2.302448898154922e+39
290.0 1.1133968800581625e+39
296.0 1.6279835041323663e+39
301.0 3.2284197837440906e+39
308.0 3.700837362923164e+39
318.0 2.184640597744975e+39
328.0 3.908948961877512e+39
338.0 2.43584696641643e+39
348.0 3.5357373805308663e+39
357.0 2.2617260491828986e+39
366.0 3.0736895457758464e+39
375.0 1.033951100982367e+39
