WAVE,FLUX
91.0,1.3570629696239858e+25
94.0,1.4030075238256718e+25
96.0,1.4336396377378444e+25
98.0,1.4642660733272774e+25
100.0,1.4918322796431359e+25
102.0,1.52247440413417e+25
104.0,1.5531020752328411e+25
106.0,1.5837258301256454e+25
108.0,1.6113133302902874e+25
110.0,2.919375775517367e+25
114.0,6.428061156741646e+26
118.0,6.653650734341496e+26
121.0,1.3911693474375987e+27
125.0,3.134728988014019e+27
127.0,4.962608327761455e+27
128.0,4.6972102510317034e+27
131.0,5.545107883054959e+27
132.0,1.1519668987230863e+28
134.0,1.1696071108550373e+28
137.0,2.621199038635253e+28
140.0,2.6828105159604443e+28
143.0,4.008944094755833e+28
147.0,7.359359187326894e+29
151.0,7.619912774873911e+29
155.0,1.1517281982944264e+30
159.0,3.602135122930412e+30
162.0,2.929611285785578e+32
166.0,9.023603416448542e+32
170.0,9.25166715773304e+32
173.0,1.115295628633305e+33
177.0,1.6732853163922397e+33
180.0,2.3757459632190004e+33
182.0,2.864112020530866e+33
186.0,4.1402827389188807e+33
191.0,6.45208380901972e+33
194.0,3.504531758760828e+33
198.0,6.698383370252636e+33
202.0,1.0142149314070069e+33
205.0,1.884429958516682e+33
210.0,2.370281899129783e+34
216.0,3.862602346607408e+34
220.0,4.0755854206921467e+34
223.0,7.442005728761161e+34
227.0,7.448348695380832e+34
230.0,3.344567767227082e+34
234.0,2.9191069034538973e+36
240.0,2.798272471215445e+37
246.0,1.7115910229285135e+36
252.0,4.997928052911181e+37
257.0,1.620055899535427e+38
260.0,1.6668633588877415e+38
264.0,2.146100224581187e+38
269.0,3.690625685841239e+38
274.0,2.5168075031073823e+38
279.0,2.1876105039500474e+38
284.0,1.1469645629966597e+38
290.0,3.9291625861305334e+37
296.0,1.2753811679969594e+38
301.0,8.828156023176097e+37
308.0,9.74293937095208e+37
318.0,6.80879094593568e+38
328.0,1.071568651661424e+39
338.0,1.4248527994447765e+39
348.0,1.9587995699598114e+39
357.0,3.0192564308719623e+38
366.0,1.2782034929152256e+39
375.0,5.496674248892026e+38
385.0,5.8827446832464844e+38
395.0,1.6368542109549526e+39
405.0,1.4074727653810473e+39
414.0,7.583505393867527e+38
422.0,1.715220663303545e+39
430.0,9.542672075883304e+38
441.0,1.839755034292419e+39
451.0,2.4243761335250706e+39
460.0,2.4153496009240236e+39
470.0,2.6128230578127024e+39
480.0,2.0807025527775183e+39
490.0,1.8760309546787228e+39
500.0,2.574127178206871e+39
506.0,9.956804960343591e+38
512.0,4.07821389494683e+39
520.0,2.0833392690971554e+39
530.0,2.2722703418000123e+39
540.0,1.4127652371246553e+39
550.0,3.326672131514774e+38
560.0,3.26790934293842e+39
570.0,3.2311714288877956e+39
580.0,2.709942025511796e+39
590.0,3.6674989653912156e+39
