WAVE FLUX
94.0 4.820365838675449e+27
96.0 1.3213564835002904e+28
98.0 2.2522676553266616e+28
100.0 4.677459114108328e+28
102.0 9.569957299749872e+28
104.0 1.947914991442571e+29
106.0 3.744380716784589e+29
108.0 7.142824835658737e+29
110.0 2.5454232109910565e+30
114.0 8.564065890010224e+30
118.0 2.536004384135516e+31
121.0 6.225439257425175e+31
125.0 1.4356216529053203e+32
127.0 1.8486725812834707e+32
128.0 2.0087227581201935e+32
131.0 3.162204846872652e+32
132.0 3.787040939050043e+32
134.0 5.327334908236805e+32
137.0 8.759312083589407e+32
140.0 1.4262314207824446e+33
143.0 2.0208310212325085e+33
147.0 3.7427429415748433e+33
151.0 6.675749009643276e+33
155.0 1.2147027088826457e+34
159.0 1.920569377594133e+34
162.0 6.663463144694437e+34
166.0 1.0181224173780003e+35
170.0 1.5565031359148106e+35
173.0 1.927835618542298e+35
177.0 2.831717990626259e+35
180.0 3.700666937020253e+35
182.0 4.3938982936246246e+35
186.0 6.1720580207486395e+35
191.0 9.272780938493125e+35
194.0 9.403726730998935e+35
198.0 9.76517432966997e+35
202.0 1.78484297399455e+35
205.0 4.9545020854159485e+35
210.0 4.243849851199525e+36
216.0 3.174754145959418e+36
220.0 4.9559880780187067e+36
223.0 8.300617947472527e+36
227.0 1.1403843629727495e+37
230.0 1.9041912641940084e+37
234.0 5.221200143120063e+37
240.0 4.894301212954453e+37
246.0 3.776425456263108e+36
252.0 4.896888039196966e+38
257.0 1.394922533223606e+39
260.0 4.318671040329471e+38
264.0 1.803391501848382e+39
269.0 1.1833140924856204e+39
274.0 1.733963840814862e+39
279.0 1.629297460275303e+38
284.0 1.5084470482367197e+39
290.0 8.5282547941481e+38
296.0 7.359364236332706e+38
301.0 1.2182889460301016e+39
308.0 1.2335876749768831e+39
318.0 4.036082242325189e+39
328.0 2.859433553071839e+39
338.0 1.1411691382775531e+39
348.0 2.4778217467635186e+38
357.0 9.120738423125552e+38
366.0 3.629526738262309e+39
375.0 3.27400998951011e+39
385.0 3.23779986251588e+39
395.0 2.532328254796959e+39
405.0 5.2826276572502133e+39
414.0 5.0739946121586274e+39
422.0 3.1721229016174236e+39
430.0 3.484255628314329e+39
441.0 1.3830251078237664e+39
451.0 1.675059099981838e+39
460.0 1.369116387101255e+39
470.0 5.0988270386883246e+39
480.0 3.23438045895644e+39
490.0 2.752602999017687e+39
500.0 4.411603512186449e+39
506.0 3.736026951809381e+39
512.0 5.755591997398775e+39
520.0 5.0798396097640434e+39
530.0 3.889197522167219e+39
540.0 1.0054720472572493e+39
550.0 2.9121249717388194e+38
560.0 4.461182617979127e+39
570.0 3.446275588227948e+39
580.0 4.5443314501503324e+39
590.0 5.12011835402375e+39
600.0 2.398335854268232e+39
610.0 5.746984180826247e+39
620.0 4.302689525468014e+39
630.0 4.615088323144508e+39
640.0 2.6919689001726067e+39
650.0 4.1509741801091185e+39
658.0 3.973013463897595e+39
665.0 3.938946115662732e+39
675.0 4.3920779463539117e+39
685.0 3.662183046859881e+39
695.0 3.865093882795954e+39
705.0 3.386414026927582e+39
716.0 3.999908414947023e+39
726.0 4.003041091518645e+39
735.0 3.446752158352822e+39
745.0 3.557624087700631e+39
755.0 2.4174643918576226e+39
765.0 2.4677439229197064e+39
775.0 2.4324846679671397e+39
785.0 4.217747142927273e+38
795.0 3.555495346447317e+39
805.0 3.246460612158033e+39
815.0 3.21573451193443e+39
825.0 3.1747554691331056e+39
835.0 1.2187395140765212e+39
845.0 3.04853078973835e+39
855.0 2.8317237695562174e+39
865.0 2.244561900855777e+39
875.0 2.9370535052788775e+39
885.0 2.76861667948097e+39
895.0 2.864534376724319e+39
905.0 2.813428031904769e+39
915.0 4.478767881056404e+39
925.0 4.0025712369338624e+39
935.0 6.397552306425142e+39
945.0 5.976807687485603e+39
955.0 4.6661968755224814e+39
965.0 4.5023317200096875e+39
975.0 4.226625403588508e+39
985.0 4.3623536567485817e+39
995.0 3.8869060949723376e+39
1005.0 3.3089563703675366e+39
1015.0 4.2192272330358096e+39
1025.0 3.672493962346687e+39
1035.0 3.9023644723899905e+39
1045.0 3.9621985236655215e+39
1055.0 3.93406585886212e+39
1065.0 3.7719831810465613e+39
1075.0 3.7005820995701954e+39
1085.0 3.3591141482641344e+39
1095.0 3.6019576872082626e+39
1105.0 3.4757915366147334e+39
1115.0 3.4169587464382685e+39
1125.0 3.2439653637357815e+39
1135.0 3.2859324261932283e+39
1145.0 3.198573026127984e+39
1155.0 3.13066476376994e+39
1165.0 2.9702437903868007e+39
1175.0 2.827162604292954e+39
1185.0 2.9131407964614166e+39
1195.0 2.5442714044934225e+39
1205.0 2.7098729367756286e+39
1215.0 2.511189745313123e+39
1225.0 2.732364355765193e+39
1235.0 9.412221856466787e+38
1245.0 3.360988553008936e+39
1255.0 2.899831230219898e+39
1265.0 3.0263678433231385e+39
1275.0 3.0503867514957655e+39
1285.0 3.0583810479696527e+39
1295.0 3.031729109151288e+39
1305.0 3.0435869402526194e+39
1315.0 3.072867107007639e+39
1325.0 3.0640332729094844e+39
1335.0 3.054753203402369e+39
1345.0 3.0573622958796217e+39
1355.0 3.048224748314919e+39
1365.0 3.0283320166786804e+39
1375.0 3.0153124246965816e+39
1385.0 3.0027302627438553e+39
1395.0 2.9341128255277094e+39
1405.0 2.9049501385742207e+39
1415.0 2.955546353307932e+39
1425.0 2.917846372076237e+39
1435.0 2.916602244962018e+39
1442.0 2.906153323261437e+39
1447.0 2.8955208716632696e+39
1455.0 2.8756164669940965e+39
1465.0 2.855426849025265e+39
1475.0 2.839520287116683e+39
1485.0 2.8276843662667746e+39
1495.0 2.8097590733930735e+39
1505.0 2.7910707704772874e+39
1512.0 2.773680169460067e+39
1517.0 2.771556894434098e+39
1525.0 2.7606656954949846e+39
1535.0 2.726695206172354e+39
1545.0 2.6937114240218716e+39
1555.0 2.686854148073467e+39
1565.0 2.692355036936926e+39
1575.0 2.6846294984240613e+39
1585.0 2.6688975873726354e+39
1595.0 2.6525391825570552e+39
1605.0 2.6270841315916167e+39
1615.0 2.6087547740978338e+39
1625.0 2.595861561299948e+39
1635.0 2.5844793633132484e+39
1645.0 2.5626295487755756e+39
1655.0 2.5553235444950738e+39
1665.0 2.5395018694162155e+39
1672.0 2.5117877080718877e+39
1677.0 2.5311530306833238e+39
1685.0 2.5097066085803303e+39
1695.0 2.4912406598388363e+39
1705.0 2.4735496401833108e+39
1715.0 2.4550095559635403e+39
1725.0 2.4364510279839358e+39
1735.0 2.430754626343763e+39
1745.0 2.4141168044319777e+39
1755.0 2.3998987458316187e+39
1765.0 2.383364078874461e+39
1775.0 2.367516041523162e+39
1785.0 2.356452628452993e+39
1795.0 2.3424400414402593e+39
1805.0 2.3318496776028285e+39
1815.0 2.3142706675239352e+39
1825.0 2.302914666113796e+39
1835.0 2.2926883836442553e+39
1845.0 2.274579263768796e+39
1855.0 2.2612893369020688e+39
1865.0 2.2493836564942737e+39
1875.0 2.23818135862857e+39
1885.0 2.2180241597317304e+39
1895.0 2.2029387988913646e+39
1905.0 2.1990728899517804e+39
1915.0 2.18102881682911e+39
1925.0 2.163249819245398e+39
1935.0 2.1589856990873133e+39
1945.0 2.1495221285755934e+39
1955.0 2.127141257567541e+39
1967.0 2.1202434700599866e+39
1976.0 2.113409557469753e+39
1984.0 2.0976541427952263e+39
1995.0 2.0819901140675488e+39
2005.0 2.074335670983021e+39
2015.0 2.0629559488490692e+39
2025.0 2.0529563788239038e+39
2035.0 2.038215969824635e+39
2045.0 2.0296303289284493e+39
2055.0 2.0124602189580325e+39
2065.0 2.0119403631381042e+39
2074.0 2.0192026610948e+39
2078.0 2.0087847699807928e+39
2085.0 2.0053065511400112e+39
2095.0 1.9930558749276146e+39
2105.0 1.988227603689508e+39
2115.0 1.9812258997690075e+39
2125.0 1.9747533845803457e+39
2135.0 1.969114351830532e+39
2145.0 1.9618647100910418e+39
2155.0 1.961832425961168e+39
2165.0 1.9549444074749356e+39
2175.0 1.9534954756469838e+39
2185.0 1.9500457800880483e+39
2195.0 1.9512914251051502e+39
2205.0 1.9511848393499684e+39
2215.0 1.9498912805155184e+39
2225.0 1.9517952750036762e+39
2235.0 1.953103536895693e+39
2245.0 1.9565217468411824e+39
2255.0 1.956510544372171e+39
2265.0 1.9613361555003934e+39
2275.0 1.9647809819479403e+39
2285.0 1.9686946818909204e+39
2295.0 1.9682627700033816e+39
2305.0 1.975022082956231e+39
2315.0 1.9811847079058857e+39
2325.0 1.9760749295881606e+39
2335.0 1.991949026246936e+39
2345.0 1.9953257283184197e+39
2355.0 2.0013159243944482e+39
2365.0 2.0060517815281406e+39
2375.0 2.0125127115918975e+39
2385.0 2.0160844175626565e+39
2395.0 2.0239561544047798e+39
2405.0 2.0293029681587518e+39
2415.0 2.0349567244551697e+39
2425.0 2.0415878004192462e+39
2435.0 2.046846398506419e+39
2445.0 2.0540420936367297e+39
2455.0 2.0599599659724337e+39
2465.0 2.0655654417714443e+39
2475.0 2.0709908981443187e+39
2485.0 2.0823140784476676e+39
2495.0 2.0658246762459817e+39
