WAVE,FLUX
91.0,1e-15
94.0,1e-15
96.0,1e-15
98.0,1e-15
100.0,1e-15
102.0,1e-15
104.0,1e-15
106.0,1e-15
108.0,1e-15
110.0,1e-15
114.0,1e-15
118.0,1e-15
121.0,1e-15
125.0,1e-15
127.0,1e-15
128.0,1e-15
131.0,1e-15
132.0,1e-15
134.0,1e-15
137.0,1e-15
140.0,1e-15
143.0,1e-15
147.0,1e-15
151.0,1e-15
155.0,1e-15
159.0,1e-15
162.0,1e-15
166.0,1e-15
170.0,1e-15
173.0,1e-15
177.0,1e-15
180.0,1e-15
182.0,1e-15
186.0,1e-15
191.0,1e-15
194.0,1e-15
198.0,1e-15
202.0,1e-15
205.0,1e-15
210.0,1e-15
216.0,1e-15
220.0,1e-15
223.0,1e-15
227.0,1e-15
230.0,2.1932594032351608e+18
234.0,5.392746430061523e+18
240.0,1.5825228882620725e+19
246.0,4.778922636394614e+19
252.0,1.2450878639160494e+20
257.0,2.4317000291936616e+20
260.0,4.0345955018982844e+20
264.0,7.326726836974056e+20
269.0,1.3932851233380528e+21
274.0,2.7941518214619327e+21
279.0,5.532481877463262e+21
284.0,1.1482329358786758e+22
290.0,2.4601410063522563e+22
296.0,5.105872902912422e+22
301.0,9.268725064528602e+22
308.0,2.0593966407824382e+23
318.0,6.23375888172132e+23
328.0,1.75788313673763e+24
338.0,4.741546347037182e+24
348.0,1.2140875343128341e+25
357.0,2.7405643247089062e+25
366.0,5.9468912953636545e+25
375.0,1.2385398940190173e+26
385.0,2.7070732039213633e+26
395.0,5.6949511086743335e+26
405.0,1.1578172081102693e+27
414.0,2.1375682986019004e+27
422.0,3.600725381014426e+27
430.0,5.937723909017008e+27
441.0,1.159044205222719e+28
451.0,2.064096512210495e+28
460.0,3.395236257127724e+28
470.0,5.777367579599606e+28
480.0,9.603731287700675e+28
490.0,1.567147953910687e+29
500.0,2.502476454810985e+29
506.0,3.922653976344216e+31
512.0,1.6279460188584654e+32
520.0,2.1081912185910413e+32
530.0,3.1264392910299493e+32
540.0,3.618845149241932e+32
550.0,5.733766461626531e+32
560.0,7.286517293927997e+32
570.0,9.668520001479682e+32
580.0,9.937565404474287e+32
590.0,1.4252793731120705e+33
600.0,1.8874697498728757e+33
610.0,2.4014856728369372e+33
620.0,2.8905467647025267e+33
630.0,3.546826952264471e+33
640.0,4.099680384747967e+33
650.0,5.0292126585044884e+33
658.0,5.914799125607077e+33
665.0,6.54063629498617e+33
675.0,7.498251447039416e+33
685.0,8.803391175436804e+33
695.0,1.0688825818205728e+34
705.0,1.2269023547838308e+34
716.0,1.4394281776379214e+34
726.0,1.6370049777421294e+34
735.0,1.8377651007717213e+34
745.0,2.1470887678612545e+34
755.0,2.4563485941569903e+34
765.0,2.7800333124988302e+34
775.0,3.1663578817232103e+34
785.0,3.5668102006351827e+34
795.0,3.9506631363270503e+34
805.0,4.39733953082341e+34
815.0,4.826029807962929e+34
825.0,5.435506256867541e+34
835.0,5.744205916946149e+34
845.0,6.471277149107306e+34
