WAVE FLUX
1000.04 3.5871872513958495e+39
1000.53 3.5452539390669325e+39
1001.02 3.159371171184885e+39
1001.51 3.688110764081046e+39
1002.01 3.0196507622209315e+39
1002.5 3.135739856959356e+39
1002.99 2.9998071555757537e+39
1003.48 3.2411314818851715e+39
1003.97 3.214622378825833e+39
1004.46 3.27184921074086e+39
1004.96 3.3254931230851495e+39
1005.45 2.686330076056588e+39
1005.94 1.4221083839325044e+39
1006.43 3.3570361740627156e+39
1006.93 2.6963657559786385e+39
1007.42 3.562969717031362e+39
1007.92 2.971220733985932e+39
1008.41 3.6872980962655035e+39
1008.91 2.925236872600197e+39
1009.4 3.3856680496263606e+39
1009.9 2.3611695237752114e+39
1010.39 2.0855495328709474e+39
1010.89 3.6227912232252104e+39
1011.38 3.013607241882051e+39
1011.88 3.443257108415374e+39
1012.37 2.4893891970828206e+39
1012.87 2.030138215401705e+39
1013.37 3.2558801828313466e+39
1013.86 3.2224172082220565e+39
1014.36 3.2727631759898446e+39
1014.86 2.782706445099324e+39
1015.36 3.02092685432408e+39
1015.85 3.0018816868304505e+39
1016.35 2.815700067881583e+39
1016.85 3.017791376819484e+39
1017.35 2.4312635391444468e+39
1017.85 2.4263020385322526e+39
1018.35 2.030194706417226e+39
1018.85 2.993439747451514e+39
1019.35 3.0773249144839074e+39
1019.85 2.4942282105310826e+39
1020.35 2.9930848100884324e+39
1020.85 3.001455168553523e+39
1021.35 2.9055255636839787e+39
1021.85 3.2458432500385355e+39
1022.35 3.0525331344540347e+39
1022.85 1.940364108587812e+39
1023.35 1.9422095298496556e+39
1023.85 1.5549947629826068e+39
1024.35 1.5456166329092234e+39
1024.86 1.5212272407303612e+39
1025.36 7.452585200801967e+38
1025.86 4.60309361860144e+38
1026.37 9.430660809415701e+38
1026.87 8.663532062115953e+38
1027.37 1.17086776857466e+39
1027.88 1.3026872854162555e+39
1028.38 1.2874282729955442e+39
1028.89 1.4247719938988136e+39
1029.39 1.3542481215471467e+39
1029.9 8.943563057939399e+38
1030.4 1.1956758277283877e+39
1030.91 9.241357796345224e+38
1031.41 1.0852471778921582e+39
1031.92 1.3323275392864819e+39
1032.42 1.0553679203801382e+39
1032.93 1.3795779131544898e+39
1033.44 1.404845545104895e+39
1033.94 1.1750097456951792e+39
1034.45 1.694313685018806e+39
1034.96 1.672731250707598e+39
1035.46 1.403004509013906e+39
1035.97 2.858257967984025e+39
1036.48 2.9462105543879926e+39
1036.99 2.7920689641365495e+39
1037.5 3.729911294036568e+39
1038.01 3.3939924171881585e+39
1038.51 4.746503176423901e+39
1039.02 4.2324919833519875e+39
1039.53 3.646267400065668e+39
1040.04 4.287171796921651e+39
1040.55 4.3428343228778323e+39
1041.06 4.3507651194472266e+39
1041.57 3.384916942822031e+39
1042.08 3.9614155071567056e+39
1042.59 3.811384645040055e+39
1043.11 3.8378201900133326e+39
1043.62 3.616404575689446e+39
1044.13 3.7079972118418763e+39
1044.64 3.5714271005858857e+39
1045.15 3.4680406770608854e+39
1045.67 3.429936157336856e+39
1046.18 3.426876343381284e+39
1046.69 3.39375770205256e+39
1047.2 3.426835313635309e+39
1047.72 3.3963707789372117e+39
1048.23 3.463518414107735e+39
1048.75 3.484731869350524e+39
1049.26 3.3840890019266646e+39
1049.78 3.268764607035076e+39
1050.29 3.3174627901511064e+39
1050.81 3.224392742477181e+39
1051.32 2.955359738143785e+39
1051.83 3.1497985014187364e+39
1052.35 2.9673218386558973e+39
1052.87 2.526891158467744e+39
1053.38 3.093135614756674e+39
1053.9 3.205611213654687e+39
1054.42 3.3358978071238796e+39
1054.93 3.428192257330536e+39
1055.45 2.560336591723327e+39
