WAVE FLUX
1000.04 1.01411438458864e+38
1000.53 7.00190821237818e+37
1001.02 3.7500702592396353e+37
1001.51 9.920912576088104e+37
1002.01 7.5659682556721e+37
1002.5 6.225475168926365e+37
1002.99 7.15911618277833e+37
1003.48 1.0250424496910643e+38
1003.97 9.90467645267857e+37
1004.46 1.0221542000668234e+38
1004.96 1.0156714390159147e+38
1005.45 5.293550385291686e+37
1005.94 2.696336177297108e+37
1006.43 9.65186156934914e+37
1006.93 4.806832868814269e+37
1007.42 9.977969591195254e+37
1007.92 9.045851096122584e+37
1008.41 9.0945698376775e+37
1008.91 5.198308162240813e+37
1009.4 9.940677688078621e+37
1009.9 1.9259885552755908e+37
1010.39 3.068020638812227e+37
1010.89 1.0149076219227599e+38
1011.38 9.650531117011316e+37
1011.88 1.0061564563150712e+38
1012.37 2.444202806893992e+37
1012.87 5.46856938217362e+37
1013.37 9.96911695876317e+37
1013.86 9.850235639897603e+37
1014.36 9.933981238508898e+37
1014.86 9.414944622238128e+37
1015.36 9.883498552565165e+37
1015.85 8.005436461344591e+37
1016.35 6.192240808333096e+37
1016.85 9.81991068702626e+37
1017.35 6.06942895491883e+37
1017.85 8.77885251081781e+37
1018.35 1.7425020699802532e+37
1018.85 9.95585540225437e+37
1019.35 7.633620735667533e+37
1019.85 2.212317261914569e+37
1020.35 8.514409558548237e+37
1020.85 9.491623941929201e+37
1021.35 8.956130606056777e+37
1021.85 9.716585212143314e+37
1022.35 1.0186755383850578e+38
1022.85 2.9018529947873244e+37
1023.35 1.017512768006443e+38
1023.85 9.919632937259669e+37
1024.35 9.811184448035438e+37
1024.86 9.318055154508388e+37
1025.36 3.837144883945892e+37
1025.86 3.7897507484922716e+36
1026.37 5.012776042673325e+37
1026.87 3.9922584833460823e+37
1027.37 7.701783794340116e+37
1027.88 8.043008652539626e+37
1028.38 6.915502004148807e+37
1028.89 8.032500112484155e+37
1029.39 6.853420146578914e+37
1029.9 2.886637821558651e+37
1030.4 6.370411463676271e+37
1030.91 2.3582274835519822e+37
1031.41 5.833504004719053e+37
1031.92 7.930399008110359e+37
1032.42 6.754496445499814e+37
1032.93 9.294917559418367e+37
1033.44 5.74936663603731e+37
1033.94 3.15769828153903e+37
1034.45 6.626847680768324e+37
1034.96 6.908264604042044e+37
1035.46 2.015671189365507e+37
1035.97 4.919745825227871e+37
1036.48 6.194022963976862e+37
1036.99 2.188921000568251e+37
1037.5 3.8444631681569946e+37
1038.01 6.225284874096647e+37
1038.51 9.861417489364974e+37
1039.02 8.60264466051949e+37
1039.53 6.805017755347733e+37
1040.04 7.454524933357445e+37
1040.55 7.244687254933459e+37
1041.06 1.006928464385758e+38
1041.57 8.799416698491328e+37
1042.08 9.9434977178114e+37
1042.59 9.568084076131269e+37
1043.11 1.0194271789799243e+38
1043.62 1.0075632297613311e+38
1044.13 1.0145786129052409e+38
1044.64 9.670716029857164e+37
1045.15 9.056314298459743e+37
1045.67 9.689624693271478e+37
1046.18 9.118199316203224e+37
1046.69 9.96673230421772e+37
1047.2 9.987945990677763e+37
1047.72 1.0072612480981412e+38
1048.23 1.0072885857781852e+38
1048.75 1.0168867680579701e+38
1049.26 9.985546835384548e+37
1049.78 9.273522945532876e+37
1050.29 9.96667999307727e+37
1050.81 8.859237137401952e+37
1051.32 6.6271108419102525e+37
1051.83 9.879878023370524e+37
1052.35 8.986360562201121e+37
1052.87 8.81564878456212e+37
1053.38 9.786249619503625e+37
1053.9 9.974259600120834e+37
1054.42 1.0050596194053621e+38
1054.93 1.0110790202381598e+38
1055.45 2.806731735036676e+37
1055.97 9.123917201079327e+37
1056.49 9.87513466819986e+37
1057.01 9.980169473058897e+37
1057.52 7.650189531623033e+37
1058.04 9.998222762981748e+37
1058.56 5.988808265084223e+37
1059.08 7.295698661667549e+37
1059.6 9.858424566405322e+37
1060.12 6.346105636463401e+37
1060.64 9.111810216719037e+37
1061.16 2.421260741878622e+37
1061.68 1.8212760312891575e+37
1062.2 7.561460492944239e+37
1062.72 1.969229983411103e+37
1063.24 4.373465490027885e+37
1063.76 9.836828397854343e+37
1064.28 8.273175659705881e+37
1064.81 9.9098513006528e+37
1065.33 9.875350247452238e+37
1065.85 3.3780310386877633e+37
1066.37 8.765931540354124e+37
1066.9 9.954398563815598e+37
1067.42 8.134115133726972e+37
1067.94 7.673030739797404e+37
1068.47 8.72276621330235e+37
1068.99 1.7694298115080364e+37
1069.52 5.879359337333957e+37
1070.04 9.05064084262072e+37
1070.56 2.4114707794396004e+37
1071.09 9.72740747262577e+37
1071.61 9.714556322191982e+37
1072.14 7.39138452292828e+37
1072.67 8.612956263345285e+37
1073.19 8.932461035782107e+37
1073.72 6.843462223769296e+37
1074.24 8.120003656327501e+37
1074.77 9.276596589860045e+37
1075.3 8.882273178405656e+37
1075.82 9.641924219275589e+37
1076.35 9.441043606966693e+37
1076.88 9.797852872892767e+37
1077.41 9.829214976288805e+37
1077.94 7.5803809493987555e+37
1078.47 9.760267535747655e+37
1078.99 9.644710570480157e+37
1079.52 6.60764585516922e+37
1080.05 9.620395492057166e+37
1080.58 9.67163822555736e+37
1081.11 9.65333307269429e+37
1081.64 9.734729185447178e+37
1082.17 9.69566747107429e+37
1082.7 9.361680261994705e+37
1083.23 3.2362374835425377e+37
1083.77 8.544242968249416e+37
1084.3 8.986270252441763e+37
1084.83 5.113435395737725e+37
1085.36 8.774626216064197e+37
1085.89 8.591164831849296e+37
1086.43 7.457914872083656e+37
1086.96 9.215251311941627e+37
1087.49 9.285662665903748e+37
