WAVE FLUX
92.1977 0.0
92.5055 0.0
92.8142 0.0
93.124 0.0
93.4349 0.0
93.7467 0.0
94.0596 0.0
94.3736 0.0
94.6886 0.0
95.0046 0.0
95.3217 0.0
95.6399 0.0
95.9591 0.0
96.2794 0.0
96.6008 0.0
96.9232 0.0
97.2467 0.0
97.5713 0.0
97.897 0.0
98.2237 0.0
98.5516 0.0
98.8805 0.0
99.2106 0.0
99.5417 0.0
99.874 1.782688205827178e+16
100.207 1.7773458995842384e+16
100.542 1.7775122517316848e+16
100.877 1.7773885397280774e+16
101.214 1.7775185248692726e+16
101.552 1.7773431038744754e+16
101.891 1.7774374884791592e+16
102.231 1.7775138597157354e+16
102.572 1.777572394479669e+16
102.915 1.7775959957298538e+16
103.258 1.7776194401838814e+16
103.603 1.7776084129656138e+16
103.948 1.7775974589452978e+16
104.295 1.777552489730237e+16
104.644 1.7777524035378186e+16
104.993 1.7776733569836158e+16
105.343 1.7778546687409434e+16
105.695 1.77772534768103e+16
106.048 1.7778549922916312e+16
106.402 1.7782410214786038e+16
106.757 1.7783347861663666e+16
107.113 1.7784113260403424e+16
107.471 1.7787254916301394e+16
107.829 1.779037571115435e+16
108.189 1.77958412173194e+16
108.55 1.7803791817755378e+16
108.913 1.7814039018559716e+16
109.276 1.7824218139751118e+16
109.641 1.7834004535260448e+16
110.007 1.7846213554735704e+16
110.374 1.7876666533432038e+16
110.742 1.790938815318954e+16
111.112 1.7941570071279468e+16
111.483 1.7975991838340946e+16
111.855 1.8010024249854926e+16
112.228 1.804107293515889e+16
112.603 1.807418361607391e+16
112.979 1.810949429122935e+16
113.356 1.8141839160543428e+16
113.734 1.8176372744215372e+16
114.114 1.826655529989822e+16
114.495 1.847818237564603e+16
114.877 1.8693317875772708e+16
115.26 1.891192131736277e+16
115.645 1.913378711895773e+16
116.031 1.935903817611709e+16
116.418 1.958513115934382e+16
116.807 1.981437779338976e+16
117.197 2.004690599098107e+16
117.588 2.02826771681301e+16
117.981 2.063265980639168e+16
118.374 2.182248628711056e+16
118.769 2.3269114330711144e+16
119.166 2.4803581779273304e+16
119.564 2.6451975334058396e+16
119.963 2.8210689996810588e+16
120.363 3.0078584798044028e+16
120.765 3.2054263012628776e+16
121.168 3.5580253768894956e+16
121.572 4.157615649212607e+16
121.978 4.863083338320633e+16
122.385 5.6876771565091304e+16
122.794 6.653876836994263e+16
123.204 7.78394747371754e+16
123.615 9.106886060712379e+16
124.027 1.0653646610906206e+17
124.441 1.2461690091868552e+17
124.857 1.4610042182885213e+17
125.274 1.8019104601715786e+17
125.692 2.292903114262082e+17
126.111 2.9169916921610266e+17
126.532 3.711282164438487e+17
126.954 4.741355003149226e+17
127.378 6.107773944084119e+17
127.803 7.939474928739345e+17
128.23 1.0193064407327306e+18
128.658 1.3052385316542822e+18
129.087 1.6716834708134057e+18
129.518 2.1407725080889418e+18
129.951 2.741071643306135e+18
130.384 3.50997609526948e+18
130.82 4.509881909835591e+18
131.256 5.86291460409951e+18
131.694 7.742525119141975e+18
132.134 1.0189718507561857e+19
132.575 1.3159255695361049e+19
133.017 1.7040326427539474e+19
133.461 2.205950718290765e+19
133.907 2.866891792624951e+19
134.354 3.705664289079793e+19
134.802 4.8069757781386e+19
135.252 6.234958175895895e+19
135.704 8.087255020711731e+19
136.157 1.0492368511223266e+20
136.611 1.3611178783518908e+20
137.067 1.7697976365164737e+20
137.524 2.2827902784238905e+20
137.983 2.95331924273996e+20
138.444 3.819371919677e+20
138.906 4.941954161867909e+20
139.37 6.391648103985505e+20
139.835 8.29026686906809e+20
140.302 1.0660239439672833e+21
140.77 1.3722576695705993e+21
141.24 1.7664206139240187e+21
141.711 2.2729376475330613e+21
142.184 2.9275632469133005e+21
142.659 3.767823478896497e+21
143.135 4.852963297083274e+21
143.613 6.190630622066479e+21
144.092 7.917895372519347e+21
144.573 1.0127559231694021e+22
145.056 1.2953389078917553e+22
145.54 1.6565496497706537e+22
146.026 2.117941702036826e+22
146.513 2.709753296412117e+22
147.002 3.4720958791627575e+22
147.493 4.401265976430908e+22
147.985 5.5881807599898e+22
148.479 7.0969553754403035e+22
148.974 9.01439408102706e+22
149.472 1.1447405377403895e+23
149.971 1.4536674053607055e+23
150.471 1.8461581429003033e+23
150.973 2.3497415686773134e+23
151.477 2.9596369922096483e+23
151.983 3.7361366002782486e+23
152.49 4.7177247369732913e+23
152.999 5.953745087204265e+23
153.51 7.515673845384572e+23
154.022 9.487324448851389e+23
154.536 1.1975798138732522e+24
155.052 1.5135656427111997e+24
155.57 1.8943233416987527e+24
156.089 2.3754375633954358e+24
156.61 2.978031586959636e+24
157.133 3.7342653894962234e+24
157.657 4.6832866264655437e+24
158.183 5.872879125835097e+24
158.711 7.36305144679834e+24
159.241 9.231300292569888e+24
159.773 1.14865639882258e+25
160.306 1.4326830725000566e+25
160.841 1.7867545996721636e+25
161.378 2.2289464646391e+25
161.916 2.7328186441334953e+25
162.457 2.69859812272616e+25
162.999 2.5036401203659536e+25
163.543 2.32242267119494e+25
164.089 2.1548157404264495e+25
164.637 1.9989195009145207e+25
165.186 1.8546342936987311e+25
165.738 1.720595435647891e+25
166.291 1.8423102900272335e+25
166.846 2.2449989135990935e+25
167.403 2.7372729886212204e+25
167.962 3.335578399334615e+25
168.522 4.066537965318115e+25
169.085 4.9563455127858295e+25
169.649 6.0429621080668545e+25
170.215 6.9647438740447945e+25
170.783 7.351213572460943e+25
171.353 7.753743235120724e+25
171.925 8.17724548465599e+25
172.499 8.623186784534328e+25
173.075 8.53554139099176e+25
173.653 6.627102079792891e+25
174.232 5.039133363931607e+25
174.814 3.8317981278099665e+25
175.397 2.9133224931853214e+25
175.983 2.216226804945491e+25
176.57 1.6855344441908923e+25
177.159 1.4344402115248948e+25
177.751 1.5787295060324898e+25
178.344 1.7553939010404262e+25
178.939 1.95155420683456e+25
179.537 2.1707322076254548e+25
180.136 2.4208054336143523e+25
180.737 2.7191884556071125e+25
181.34 3.055746424227129e+25
181.946 3.3659863224449355e+25
182.553 3.0817481320121243e+25
183.162 2.703876234189334e+25
183.774 2.3728830388931785e+25
184.387 2.0820170580085873e+25
185.002 1.8261473578674644e+25
185.62 1.6033553324576331e+25
186.24 1.5202297687581214e+25
186.861 1.623905929520915e+25
187.485 1.7351078484494207e+25
188.111 1.8563994567929006e+25
188.739 1.9845876514040783e+25
189.368 2.1226895433221935e+25
190.001 2.269034472802492e+25
190.635 2.426627387039234e+25
191.271 2.712686965627541e+25
191.909 3.200353855990041e+25
192.55 3.7816185342466378e+25
193.193 4.469124717515526e+25
193.838 5.287358439610203e+25
194.485 6.2020202780357485e+25
195.134 7.265900158735003e+25
195.785 8.514702683946065e+25
196.438 9.976229105695219e+25
197.094 1.1688193294085297e+26
197.752 1.3711477565990262e+26
198.412 1.613107134597e+26
199.074 1.9064492473199058e+26
199.739 2.2532699843023518e+26
200.405 2.6632295340454137e+26
201.074 3.1472606563879106e+26
201.745 3.723406437119167e+26
202.419 4.392152098008751e+26
203.094 5.1827373697544806e+26
203.772 6.115337323130373e+26
204.453 7.217012543324246e+26
205.135 8.521638166396491e+26
205.82 1.0019998974676816e+27
206.507 1.1794851040832767e+27
207.196 1.388419129810139e+27
207.887 1.6349332458503628e+27
208.581 1.922969940104918e+27
209.278 2.2647786993606451e+27
209.976 2.6667758489292563e+27
210.677 3.124176914158298e+27
211.38 3.661250454582987e+27
212.086 4.290912951511896e+27
212.794 5.028677832218868e+27
213.504 5.893928179745148e+27
214.216 6.907144068977421e+27
214.931 8.09391355872295e+27
215.649 9.497067038143922e+27
216.369 1.1098276907899298e+28
217.091 1.2962664539447196e+28
217.815 1.5135738896798019e+28
218.542 1.7686317520818384e+28
219.272 2.065839815103061e+28
220.004 2.41405189761064e+28
220.738 2.8101100430777017e+28
221.475 3.274571460555273e+28
222.214 3.8146244836974185e+28
222.956 4.398105366834516e+28
223.7 4.664937712519055e+28
224.447 4.866297937391835e+28
225.196 5.076632478601869e+28
225.947 5.295846502864993e+28
226.702 5.541798431016975e+28
227.458 7.928804445547099e+28
228.188 1.3694014714998667e+29
228.889 2.313975797922031e+29
229.593 3.909127655027353e+29
230.298 6.534927374105084e+29
231.006 1.0425352238417053e+30
231.717 1.6793923685008392e+30
232.429 2.7051330981191996e+30
233.143 4.3584674709900365e+30
233.86 6.982580735596778e+30
234.579 9.057485061245874e+30
235.3 1.1075016919607182e+31
236.024 1.3535777119323365e+31
236.774 1.6669150205810596e+31
237.552 2.0663895778293615e+31
238.332 2.562302950077789e+31
239.114 3.175641946419687e+31
239.9 3.8298764812942257e+31
240.688 3.4225241880364153e+31
241.478 2.8258730668989657e+31
242.271 2.334151843538518e+31
243.067 1.927164037132339e+31
243.865 1.5909531406098647e+31
244.666 1.3141069051728295e+31
245.47 1.0846544226635282e+31
246.276 1.0145860295001578e+31
247.085 1.1820889215437405e+31
247.896 1.3851747875373038e+31
248.71 1.6220776836926245e+31
249.527 1.8994672185566978e+31
250.352 2.228536107060746e+31
251.187 2.615685707966747e+31
252.024 2.977113891112724e+31
252.863 2.863486316342821e+31
253.706 2.686226167634251e+31
254.551 2.519281398998253e+31
255.399 2.363685620520963e+31
256.25 2.217056555607259e+31
257.104 2.137131904991794e+31
257.961 2.2837106038582527e+31
258.82 2.4630870276287776e+31
259.683 2.6928709110582975e+31
260.548 6.466494333815332e+31
261.416 2.5189112877497894e+32
262.287 9.816581384424557e+32
263.161 3.824757078739189e+33
264.038 1.2022374495384007e+34
264.918 1.1443284051741922e+34
265.801 9.39618705796714e+33
266.686 7.716729738921113e+33
267.575 6.338069389700901e+33
268.466 5.205201477191226e+33
269.361 7.884665218124313e+33
270.258 2.392278791278275e+34
271.159 7.713059623302532e+34
272.062 2.4867725274503853e+35
272.969 8.018582139809417e+35
273.878 2.321278904348848e+36
274.791 1.5795049816393454e+36
275.707 7.470585614001612e+35
276.625 3.5332220593618595e+35
277.547 1.670946130728521e+35
278.472 7.903040807502197e+34
279.4 7.06720350476873e+34
280.331 1.3642423135638722e+35
281.265 2.6945513345238177e+35
282.202 5.3195628999657284e+35
283.142 1.0500855519722076e+36
284.086 1.775109213016448e+36
285.032 1.524799813067303e+36
285.982 1.2170108062734189e+36
286.935 9.710861098776297e+35
287.891 7.750788987655799e+35
288.85 6.186099618077893e+35
289.813 4.976690527110129e+35
290.778 4.4068162824413275e+35
291.747 4.0404855202360255e+35
292.719 3.704425233375577e+35
293.694 3.3963601589262296e+35
294.673 3.114032822978015e+35
295.655 2.8621382954760887e+35
296.64 2.9715352134431803e+35
297.628 3.311312675187029e+35
298.62 3.690766695462468e+35
299.615 4.113393270224057e+35
300.613 4.5884476905882704e+35
301.615 5.266143369272699e+35
302.62 6.1656519753792405e+35
303.628 7.218501859724227e+35
304.64 8.45277434030605e+35
305.655 9.899075936379071e+35
306.674 1.158658773669963e+36
307.695 1.3584933568135564e+36
308.721 1.594748799932223e+36
309.749 1.8783625926963488e+36
310.781 2.2125968403007526e+36
311.817 2.6053494743825254e+36
