WAVE FLUX
92.1977 0.0
92.5055 0.0
92.8142 0.0
93.124 0.0
93.4349 0.0
93.7467 0.0
94.0596 0.0
94.3736 0.0
94.6886 0.0
95.0046 0.0
95.3217 0.0
95.6399 0.0
95.9591 0.0
96.2794 0.0
96.6008 0.0
96.9232 0.0
97.2467 0.0
97.5713 0.0
97.897 0.0
98.2237 0.0
98.5516 0.0
98.8805 0.0
99.2106 0.0
99.5417 0.0
99.874 1.80959804596728e+16
100.207 1.8041548358566652e+16
100.542 1.8043959337189292e+16
100.877 1.8043521724711484e+16
101.214 1.8042730475702516e+16
101.552 1.8044580566414764e+16
101.891 1.80434368788665e+16
102.231 1.804491935261696e+16
102.572 1.804343028976152e+16
102.915 1.8044376961514028e+16
103.258 1.804531734400254e+16
103.603 1.8045903126548576e+16
103.948 1.8046485020708524e+16
104.295 1.8046716987826908e+16
104.644 1.8046602495682556e+16
104.993 1.8046488764689104e+16
105.343 1.8048916967929184e+16
105.695 1.804828405757474e+16
106.048 1.806634637673039e+16
106.402 1.8151256243987292e+16
106.757 1.8243461872216876e+16
107.113 1.833488513356715e+16
107.471 1.84253598043314e+16
107.829 1.852053361979012e+16
108.189 1.8789048477976416e+16
108.55 1.9226709717631156e+16
108.913 1.9674226435391108e+16
109.276 2.013184429802023e+16
109.641 2.0601693372695864e+16
110.007 2.1429283975557616e+16
110.374 2.4335210342809292e+16
110.742 2.8021507474788944e+16
111.112 3.2274297177504812e+16
111.483 3.716493588329812e+16
111.855 4.281467432379282e+16
112.228 4.931765633323461e+16
112.603 5.679160644878994e+16
112.979 6.540407785750627e+16
113.356 7.534517313947606e+16
113.734 8.677728384808493e+16
114.114 1.0374090616402642e+17
114.495 1.3264496825166024e+17
114.877 1.70385062811451e+17
115.26 2.1885563944885427e+17
115.645 2.8118324221480112e+17
116.031 3.610222494134063e+17
116.418 4.638907393849874e+17
116.807 5.959124332693612e+17
117.197 7.655740180623745e+17
117.588 9.831887655740236e+17
117.981 1.267639250818644e+18
118.374 1.632997464633581e+18
118.769 2.1121073207445353e+18
119.166 2.731149005770663e+18
119.564 3.532222323310838e+18
119.963 4.5685177607689247e+18
120.363 5.911264277971836e+18
120.765 7.644866485943002e+18
121.168 9.84796696902171e+18
121.572 1.2504090366488525e+19
121.978 1.5917761219711482e+19
122.385 2.02635498414761e+19
122.794 2.5806459877860127e+19
123.204 3.284070548554578e+19
123.615 4.181589787895992e+19
124.027 5.321937546200772e+19
124.441 6.77609911611417e+19
124.857 8.64615647022335e+19
125.274 1.0861816944045046e+20
125.692 1.3594635888230382e+20
126.111 1.701613805810288e+20
126.532 2.1297636243596778e+20
126.954 2.673893371961196e+20
127.378 3.3693764813749584e+20
127.803 4.2748499236520355e+20
128.23 5.390390884938273e+20
128.658 6.802745661925053e+20
129.087 8.584190169090773e+20
129.518 1.0832417646572264e+21
129.951 1.3670212794121669e+21
130.384 1.7251816038520135e+21
130.82 2.182271836066113e+21
131.256 2.749528458886226e+21
131.694 3.4737565355420853e+21
132.134 4.394233749223921e+21
132.575 5.524093293021421e+21
133.017 6.95789440576114e+21
133.461 8.763173382836545e+21
133.907 1.1062053310512557e+22
134.354 1.3849618990133997e+22
134.802 1.7354115748598664e+22
135.252 2.1739307932969186e+22
135.704 2.724680997509077e+22
136.157 3.4144567423403276e+22
136.611 4.2795095046672085e+22
137.067 5.370157063843268e+22
137.524 6.682078625435812e+22
137.983 8.328955098130461e+22
138.444 1.0383749839270261e+23
138.906 1.2945259629944263e+23
139.37 1.613949065239387e+23
139.835 2.016244897768339e+23
140.302 2.500970364719103e+23
140.77 3.1016106923358285e+23
141.24 3.8479271933547595e+23
141.711 4.7747669465276986e+23
142.184 5.924487613353971e+23
142.659 7.350907104909426e+23
143.135 9.11914874829638e+23
143.613 1.1223708885293206e+24
144.092 1.3839722395868988e+24
144.573 1.706470963754729e+24
145.056 2.103824987144035e+24
145.54 2.5935492694889356e+24
146.026 3.199349060888372e+24
146.513 3.9454249070879594e+24
147.002 4.869210495583319e+24
147.493 5.957276757618952e+24
147.985 7.298744684494396e+24
148.479 8.939119784355063e+24
148.974 1.0950240063949918e+25
149.472 1.3414228850740575e+25
149.971 1.6431436971640683e+25
150.471 2.012922931948245e+25
150.973 2.4680411751103425e+25
151.477 3.0049910367631082e+25
151.983 3.6605390611756545e+25
152.49 4.461615544689417e+25
152.999 5.434736816606546e+25
153.51 6.622826852766604e+25
154.022 8.070131956152018e+25
154.536 9.831304335633807e+25
155.052 1.198792687062335e+26
155.57 1.45065936432273e+26
156.089 1.7577762156851136e+26
156.61 2.1292446277952972e+26
157.133 2.580412881207217e+26
157.657 3.126439754808025e+26
158.183 3.788025225461032e+26
158.711 4.591001240066258e+26
159.241 5.559052739418141e+26
159.773 6.695865932827954e+26
160.306 8.07819712303915e+26
160.841 9.74438009982326e+26
161.378 1.1755272923878156e+27
161.916 1.3989220136970033e+27
162.457 1.3954950495877127e+27
162.999 1.3230130780949359e+27
163.543 1.2543160828270377e+27
164.089 1.1891917476354016e+27
164.637 1.1274378354128816e+27
165.186 1.0690284690952156e+27
165.738 1.0135738541324505e+27
166.291 1.0782488853832752e+27
166.846 1.2729823033343625e+27
167.403 1.502934854790708e+27
167.962 1.7743827378851273e+27
168.522 2.0940371667970128e+27
169.085 2.472368928654288e+27
169.649 2.92059825779428e+27
170.215 3.278524601215512e+27
170.783 3.401471004123124e+27
171.353 3.525228749809538e+27
171.925 3.6531094799688674e+27
172.499 3.786724216344402e+27
173.075 3.706432008530029e+27
173.653 2.910848316731971e+27
174.232 2.2435316891959816e+27
174.814 1.727717808570498e+27
175.397 1.331638997661632e+27
175.983 1.0261725522668221e+27
176.57 7.906978872218623e+26
177.159 6.766168013344826e+26
177.751 7.349676126642797e+26
178.344 8.059043775323618e+26
178.939 8.837067689952756e+26
179.537 9.69094308194202e+26
180.136 1.0637438618129906e+27
180.737 1.1688200952582291e+27
181.34 1.284846153049639e+27
181.946 1.3771510914871645e+27
182.553 1.178949954150878e+27
183.162 9.577149996353231e+26
183.774 7.780495682206206e+26
184.387 6.321169566944078e+26
185.002 5.1355771786508606e+26
185.62 4.171752717123294e+26
186.24 3.467444451447194e+26
186.861 2.97576208014171e+26
187.485 2.557404766006095e+26
188.111 2.1980035222014268e+26
188.739 1.8894133828565394e+26
189.368 1.6236026081950148e+26
190.001 1.3953159475925995e+26
190.635 1.1991166902342854e+26
191.271 1.136269418127238e+26
191.909 1.2246576794192045e+26
192.55 1.3211953037698015e+26
193.193 1.4253603512361242e+26
193.838 1.5360418136037495e+26
194.485 1.6176162436234493e+26
195.134 1.6883820271923133e+26
195.785 1.7615797214192974e+26
196.438 1.838637564972474e+26
197.094 1.919505147575996e+26
197.752 2.004151073241055e+26
198.412 2.2293490069858297e+26
199.074 2.5822046164019417e+26
199.739 2.99134510109107e+26
200.405 3.4647609307693684e+26
201.074 4.0131422409638704e+26
201.745 4.652738354043273e+26
202.419 5.372715632966744e+26
203.094 6.203256076499652e+26
203.772 7.161408891426107e+26
204.453 8.268224984905842e+26
205.135 9.558486195678253e+26
205.82 1.1034409977612846e+27
206.507 1.2752263750145286e+27
207.196 1.474269342858657e+27
207.887 1.7030426552081192e+27
208.581 1.9686331993000134e+27
209.278 2.2747603852325968e+27
209.976 2.6305594990475066e+27
210.677 3.027367075596578e+27
211.38 3.48505392267785e+27
212.086 4.012417406549498e+27
212.794 4.6195111858797194e+27
213.504 5.318915092428812e+27
214.216 6.12437400720455e+27
214.931 7.052074856710908e+27
215.649 8.12595745372152e+27
216.369 9.336667593368303e+27
217.091 1.0726283428537267e+28
217.815 1.2321902357829075e+28
218.542 1.4150207923293423e+28
219.272 1.626756268995513e+28
220.004 1.8734887445675964e+28
220.738 2.173008915785114e+28
221.475 2.5260958916578268e+28
222.214 2.9374082534634996e+28
222.956 3.3743725292111174e+28
223.7 3.5072853168443058e+28
224.447 3.5735575766912397e+28
225.196 3.6413550298939585e+28
225.947 3.7110135433375967e+28
226.702 3.8006623688829456e+28
227.458 6.213642258076542e+28
228.188 1.3461384691350875e+29
228.889 2.833837788916995e+29
229.593 5.9676591568355704e+29
230.298 2.0422725438311713e+30
231.006 9.346364674413078e+30
231.717 4.778458762018753e+31
232.429 2.4427644225192165e+32
233.143 1.2488947391657356e+33
233.86 6.52590376793818e+33
234.579 1.2692659251347107e+34
235.3 2.008572955101896e+34
236.024 3.1791614834667657e+34
236.774 5.109646733787009e+34
237.552 8.341839064189152e+34
238.332 1.3619777307097219e+35
239.114 2.223900749722324e+35
239.9 3.305268709124692e+35
240.688 1.7202357938019883e+35
241.478 6.800450121696898e+34
242.271 2.6891030655120487e+34
243.067 1.0631843753134453e+34
243.865 4.2041382895520025e+33
244.666 1.6619016194410946e+33
245.47 6.572286456690689e+32
246.276 5.555281665823369e+32
247.085 1.560053892372813e+33
247.896 4.6879037464418756e+33
248.71 1.4085467159530345e+34
249.527 4.2301267303255215e+34
250.352 1.2806068613625416e+35
251.187 3.9086792098134374e+35
252.024 1.0749450869170848e+36
252.863 1.4746849845054966e+36
253.706 1.8673590069240978e+36
254.551 2.3663001526391736e+36
255.399 2.9972816429142416e+36
256.25 3.7979986170147525e+36
257.104 3.958759462075546e+36
257.961 1.8376650973631128e+36
258.82 7.996403213744436e+35
259.683 3.601442773676356e+35
260.548 2.9150181656166276e+35
261.416 3.568823362244652e+35
262.287 4.369682968559428e+35
263.161 5.350855263770591e+35
264.038 6.708558860346137e+35
264.918 9.242569135876904e+35
265.801 1.2964767413562939e+36
266.686 1.818258629970169e+36
267.575 2.5490650450870415e+36
268.466 3.575153922945338e+36
269.361 4.763055675280192e+36
270.258 5.854232922040214e+36
271.159 7.204694811669723e+36
272.062 8.867535496585488e+36
272.969 1.091804832858489e+37
273.878 1.256155406390855e+37
274.791 6.767356764652792e+36
275.707 2.972387231433959e+36
276.625 1.3046257805770263e+36
277.547 5.7313735697086266e+35
278.472 2.5170395926032586e+35
279.4 2.251982159207986e+35
280.331 4.716310681114418e+35
281.265 1.0156124870934888e+36
282.202 2.187095245748042e+36
283.142 4.709855013502285e+36
284.086 8.386603125697015e+36
285.032 6.527217851466164e+36
285.982 4.6440988273270055e+36
286.935 3.304204270604628e+36
287.891 2.351316032926117e+36
288.85 1.672804809487374e+36
289.813 1.2156799299381262e+36
290.778 1.173320920989537e+36
291.747 1.2507154972735631e+36
292.719 1.334417210316051e+36
293.694 1.4224150252874914e+36
294.673 1.5175675451800157e+36
295.655 1.6178723710468576e+36
296.64 1.6876346057730977e+36
297.628 1.739636215745462e+36
298.62 1.792226601566392e+36
299.615 1.8473113622992334e+36
300.613 1.9048640803572968e+36
301.615 2.0093785660975208e+36
302.62 2.150949062868905e+36
303.628 2.3037939173367892e+36
304.64 2.4668506363189714e+36
305.655 2.6418897244471658e+36
306.674 2.828777846071944e+36
307.695 3.0339102421250665e+36
308.721 3.40793768155574e+36
309.749 3.915069670709862e+36
310.781 4.498780341012734e+36
311.817 5.1683670352375827e+36
312.856 5.937583229767439e+36
