### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+9.25087e+02  +6.28502e-01  +1.16744e-01  +1.04773e+00  +1.48650e-02
+9.25509e+02  +6.79467e-01  +1.20882e-01  +1.04093e+00  +1.44232e-02
+9.25930e+02  +5.57869e-01  +1.11991e-01  +9.56862e-01  +1.42034e-02
+9.26352e+02  +6.77679e-01  +1.20551e-01  +8.34329e-01  +1.62686e-02
+9.26774e+02  +9.55834e-01  +1.42641e-01  +9.05801e-01  +1.45472e-02
+9.27195e+02  +6.80505e-01  +1.35778e-01  +1.00680e+00  +1.60638e-02
+9.27617e+02  +8.02771e-01  +1.43540e-01  +1.03363e+00  +1.72602e-02
+9.28038e+02  +9.92756e-01  +1.59101e-01  +1.03266e+00  +1.73511e-02
+9.28460e+02  +9.09813e-01  +1.59020e-01  +1.02149e+00  +1.86784e-02
+9.28882e+02  +7.27814e-01  +1.41850e-01  +1.00136e+00  +2.29739e-02
+9.29303e+02  +5.00601e-01  +1.24703e-01  +9.92252e-01  +2.62513e-02
+9.29725e+02  +3.87178e-01  +1.13419e-01  +9.89587e-01  +2.62990e-02
+9.30147e+02  +4.32016e-01  +1.13204e-01  +9.59165e-01  +2.43109e-02
+9.30568e+02  +5.72111e-01  +1.14011e-01  +9.05588e-01  +1.96889e-02
+9.30990e+02  +5.67469e-01  +1.10496e-01  +8.75299e-01  +1.86579e-02
+9.31412e+02  +8.42201e-01  +1.32606e-01  +9.28278e-01  +2.30121e-02
+9.31833e+02  +6.89187e-01  +1.27020e-01  +9.62337e-01  +2.72301e-02
+9.32255e+02  +7.19640e-01  +1.35058e-01  +9.68337e-01  +2.70415e-02
+9.32676e+02  +1.11328e+00  +1.66074e-01  +9.78561e-01  +2.25932e-02
+9.33098e+02  +1.05037e+00  +1.55613e-01  +1.00709e+00  +1.64301e-02
+9.33520e+02  +1.13210e+00  +1.65800e-01  +1.06228e+00  +1.43011e-02
+9.33941e+02  +1.04878e+00  +1.55357e-01  +1.10093e+00  +1.60737e-02
+9.34363e+02  +9.85807e-01  +1.55222e-01  +1.10040e+00  +1.58345e-02
+9.34785e+02  +1.23112e+00  +1.70291e-01  +1.08667e+00  +1.48551e-02
+9.35206e+02  +9.92072e-01  +1.42374e-01  +1.07658e+00  +1.42758e-02
+9.35628e+02  +1.03419e+00  +1.43221e-01  +1.07039e+00  +1.38690e-02
+9.36050e+02  +6.44417e-01  +1.10053e-01  +1.06422e+00  +1.31942e-02
+9.36471e+02  +3.45852e-01  +8.64567e-02  +1.04469e+00  +1.25080e-02
+9.36893e+02  +4.10866e-01  +9.68201e-02  +9.33284e-01  +1.19754e-02
+9.37314e+02  +3.09602e-01  +8.41755e-02  +6.74719e-01  +1.13581e-02
+9.37736e+02  +5.61241e-01  +1.09198e-01  +5.53627e-01  +1.39560e-02
+9.38158e+02  +6.11409e-01  +1.13457e-01  +7.56379e-01  +1.25072e-02
+9.38579e+02  +7.45399e-01  +1.25933e-01  +9.66725e-01  +1.37080e-02
+9.39001e+02  +7.95389e-01  +1.25819e-01  +1.03558e+00  +1.51310e-02
+9.39423e+02  +7.27900e-01  +1.21660e-01  +1.05085e+00  +1.56229e-02
+9.39844e+02  +7.44112e-01  +1.25756e-01  +1.05587e+00  +1.61054e-02
+9.40266e+02  +6.26319e-01  +1.17291e-01  +1.05612e+00  +1.69676e-02
+9.40688e+02  +6.26336e-01  +1.17271e-01  +1.05370e+00  +1.80829e-02
+9.41109e+02  +3.75190e-01  +9.20648e-02  +1.04849e+00  +1.87797e-02
+9.41531e+02  +5.92555e-01  +1.08759e-01  +1.03536e+00  +1.90266e-02
+9.41952e+02  +8.43060e-01  +1.29664e-01  +9.83997e-01  +1.85655e-02
