### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+9.10000e+01  +3.25576e-18  +1.17507e-17  +3.90841e-10  +1.56078e-10
+9.40000e+01  +1.85491e-17  +5.96736e-17  +1.24449e-09  +5.00344e-10
+9.60000e+01  +5.51089e-17  +1.65149e-16  +2.55982e-09  +1.03045e-09
+9.80000e+01  +1.57436e-16  +4.41698e-16  +5.13961e-09  +2.06874e-09
+1.00000e+02  +3.58953e-16  +9.29237e-16  +8.35276e-09  +3.37039e-09
+1.02000e+02  +8.96741e-16  +2.15731e-15  +1.50726e-08  +6.09227e-09
+1.04000e+02  +2.25762e-15  +5.08449e-15  +2.77549e-08  +1.12247e-08
+1.06000e+02  +5.42403e-15  +1.15320e-14  +4.93513e-08  +1.99487e-08
+1.08000e+02  +1.26570e-14  +2.54721e-14  +8.61868e-08  +3.48112e-08
+1.10000e+02  +3.59562e-14  +8.36255e-14  +1.85178e-07  +7.15552e-08
+1.14000e+02  +1.60218e-13  +3.59815e-13  +4.86084e-07  +1.84145e-07
+1.18000e+02  +6.74750e-13  +1.37171e-12  +1.25000e-06  +4.73061e-07
+1.21000e+02  +1.75479e-12  +3.84988e-12  +2.29410e-06  +8.27915e-07
+1.25000e+02  +5.94911e-12  +1.19911e-11  +5.01532e-06  +1.80574e-06
+1.27000e+02  +7.37006e-12  +1.48097e-11  +5.04138e-06  +1.78865e-06
+1.28000e+02  +6.04479e-12  +1.21451e-11  +3.73371e-06  +1.31161e-06
+1.31000e+02  +1.36349e-11  +2.53522e-11  +6.25906e-06  +2.20985e-06
+1.32000e+02  +1.74666e-11  +3.20337e-11  +7.28452e-06  +2.56425e-06
+1.34000e+02  +2.88797e-11  +5.08082e-11  +9.98439e-06  +3.51693e-06
+1.37000e+02  +5.35783e-11  +8.78271e-11  +1.41247e-05  +4.99203e-06
+1.40000e+02  +1.12915e-10  +1.74997e-10  +2.29641e-05  +8.12268e-06
+1.43000e+02  +1.80225e-10  +2.53257e-10  +2.85858e-05  +1.02566e-05
+1.47000e+02  +4.43619e-10  +5.81405e-10  +5.13158e-05  +1.83884e-05
+1.51000e+02  +1.02459e-09  +1.25499e-09  +8.78939e-05  +3.15607e-05
+1.55000e+02  +2.24369e-09  +2.59112e-09  +1.44957e-04  +5.20225e-05
+1.59000e+02  +4.36714e-09  +4.71456e-09  +2.15545e-04  +7.75333e-05
+1.62000e+02  +3.78087e-09  +3.06125e-09  +1.53823e-04  +5.93498e-05
+1.66000e+02  +8.30226e-09  +6.18124e-09  +2.63912e-04  +1.02947e-04
+1.70000e+02  +1.61837e-08  +1.27398e-08  +4.06648e-04  +1.54596e-04
+1.73000e+02  +2.58262e-08  +1.89349e-08  +5.47910e-04  +2.09988e-04
+1.77000e+02  +4.17568e-08  +3.13311e-08  +7.13281e-04  +2.67617e-04
+1.80000e+02  +6.41575e-08  +4.25744e-08  +9.37432e-04  +3.61076e-04
+1.82000e+02  +8.34279e-08  +6.09785e-08  +1.10159e-03  +4.09855e-04
+1.86000e+02  +7.03679e-07  +4.54466e-07  +7.63749e-03  +2.91033e-03
+1.91000e+02  +2.85762e-07  +1.73310e-07  +2.45572e-03  +9.36198e-04
+1.94000e+02  +4.20044e-07  +2.49107e-07  +3.15601e-03  +1.20338e-03
+1.98000e+02  +5.85305e-07  +3.30959e-07  +3.69998e-03  +1.41040e-03
+2.02000e+02  +9.21059e-07  +4.80404e-07  +4.93232e-03  +1.90963e-03
+2.05000e+02  +1.42093e-06  +7.68303e-07  +6.74746e-03  +2.56192e-03
+2.10000e+02  +2.81106e-06  +1.57383e-06  +1.10093e-02  +4.08064e-03
+2.16000e+02  +4.20012e-06  +2.10834e-06  +1.32084e-02  +4.98394e-03
+2.20000e+02  +5.05064e-06  +2.34009e-06  +1.38131e-02  +5.28129e-03
+2.23000e+02  +8.53026e-06  +4.24500e-06  +2.10790e-02  +7.85336e-03
+2.27000e+02  +1.16905e-05  +5.61346e-06  +2.53390e-02  +9.45512e-03
+2.30000e+02  +2.50925e-04  +1.05302e-04  +4.94425e-01  +1.93133e-01
+2.34000e+02  +7.43907e-05  +3.12880e-05  +1.29577e-01  +5.06819e-02
+2.40000e+02  +7.78054e-05  +3.33312e-05  +1.13513e-01  +4.30155e-02
+2.46000e+02  +3.36949e-03  +1.30514e-03  +4.15319e+00  +1.63287e+00
+2.52000e+02  +3.98741e-03  +1.49743e-03  +4.18578e+00  +1.62288e+00
+2.57000e+02  +5.81800e-03  +2.17774e-03  +5.37325e+00  +2.04260e+00
+2.60000e+02  +2.88882e-03  +9.75731e-04  +2.47649e+00  +9.76659e-01
+2.64000e+02  +3.15419e-03  +9.98646e-04  +2.45481e+00  +8.81831e-01
+2.69000e+02  +3.55235e-03  +1.07502e-03  +2.45992e+00  +9.32028e-01
+2.74000e+02  +9.38420e-03  +3.22416e-03  +5.80666e+00  +2.17070e+00
+2.79000e+02  +5.33671e-03  +1.83739e-03  +2.96265e+00  +1.16813e+00
+2.84000e+02  +6.94233e-03  +2.28889e-03  +3.47095e+00  +1.37000e+00
