### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.20001e+03  +4.87266e-01  +2.15013e-01  +1.16206e+00  +1.99599e-02
+1.20057e+03  +6.42415e-01  +2.14162e-01  +1.14493e+00  +1.99621e-02
+1.20112e+03  +9.05557e-01  +2.12993e-01  +1.12358e+00  +2.22565e-02
+1.20168e+03  +6.39393e-01  +2.10758e-01  +1.09254e+00  +2.71019e-02
+1.20223e+03  +4.19763e-01  +2.12156e-01  +1.08504e+00  +2.74292e-02
+1.20279e+03  +6.18582e-01  +2.13082e-01  +1.11608e+00  +2.27585e-02
+1.20334e+03  +4.36694e-01  +2.14578e-01  +1.13859e+00  +2.16505e-02
+1.20389e+03  +7.73410e-01  +2.14876e-01  +1.14522e+00  +2.11515e-02
+1.20445e+03  +5.02762e-01  +2.13241e-01  +1.14556e+00  +2.03938e-02
+1.20500e+03  +6.19501e-01  +2.10126e-01  +1.14074e+00  +2.00331e-02
+1.20556e+03  +2.90274e-01  +2.07822e-01  +1.12127e+00  +2.09828e-02
+1.20611e+03  +6.49215e-01  +2.04502e-01  +1.07155e+00  +2.60597e-02
+1.20667e+03  +3.60115e-01  +2.03473e-01  +1.06092e+00  +2.92422e-02
+1.20722e+03  +1.59461e-01  +2.01658e-01  +1.10408e+00  +2.62589e-02
+1.20778e+03  +3.77511e-01  +2.02549e-01  +1.13077e+00  +2.36656e-02
+1.20833e+03  +5.52933e-01  +2.08371e-01  +1.13164e+00  +2.20565e-02
+1.20888e+03  +3.23336e-01  +2.16800e-01  +1.13189e+00  +2.15734e-02
+1.20944e+03  +2.81909e-02  +2.89170e-01  +1.13145e+00  +2.16641e-02
+1.20999e+03  +7.70974e-01  +4.45913e-01  +1.12439e+00  +2.14935e-02
+1.21055e+03  +3.52661e-01  +4.97818e-01  +1.11070e+00  +2.16659e-02
+1.21110e+03  +3.52526e-01  +4.91640e-01  +1.09542e+00  +2.12768e-02
+1.21166e+03  -4.61404e-02  +4.80315e-01  +1.09295e+00  +2.07452e-02
+1.21221e+03  +1.27223e-01  +3.90928e-01  +1.10136e+00  +2.05990e-02
+1.21276e+03  +2.47784e-01  +2.30528e-01  +1.09916e+00  +2.10151e-02
+1.21332e+03  +1.31304e-01  +1.91163e-01  +1.08875e+00  +2.14607e-02
+1.21387e+03  +2.82098e-01  +1.89759e-01  +1.07882e+00  +2.18969e-02
+1.21443e+03  +4.42550e-01  +1.89394e-01  +1.04157e+00  +2.26908e-02
+1.21498e+03  +6.73816e-01  +1.89135e-01  +9.39378e-01  +2.83397e-02
+1.21554e+03  +3.25483e+00  +1.93337e-01  +8.68185e-01  +3.99487e-02
+1.21609e+03  +8.51301e+00  +1.98553e-01  +9.59750e-01  +4.01529e-02
+1.21665e+03  +1.21507e+01  +2.02540e-01  +1.06248e+00  +3.15039e-02
+1.21720e+03  +1.30681e+01  +2.05580e-01  +1.07963e+00  +2.72382e-02
+1.21775e+03  +1.12575e+01  +2.05046e-01  +1.07366e+00  +2.61059e-02
+1.21831e+03  +8.08053e+00  +2.01269e-01  +1.07669e+00  +2.48460e-02
+1.21886e+03  +5.27974e+00  +1.98505e-01  +1.08903e+00  +2.36254e-02
+1.21942e+03  +3.28117e+00  +1.96444e-01  +1.10443e+00  +2.26216e-02
+1.21997e+03  +1.81462e+00  +1.95765e-01  +1.09751e+00  +2.21075e-02
+1.22053e+03  +1.48774e+00  +1.94628e-01  +1.07300e+00  +2.23376e-02
+1.22108e+03  +1.03821e+00  +1.93047e-01  +1.05216e+00  +2.38316e-02
+1.22163e+03  +1.25433e+00  +1.90907e-01  +1.06368e+00  +2.36959e-02
+1.22219e+03  +1.25376e+00  +1.89309e-01  +1.07975e+00  +2.16337e-02
+1.22274e+03  +9.34748e-01  +1.87612e-01  +1.06641e+00  +2.12861e-02
+1.22330e+03  +1.20211e+00  +1.87074e-01  +1.05442e+00  +2.28200e-02
+1.22385e+03  +9.23042e-01  +1.86622e-01  +1.07047e+00  +2.25919e-02
+1.22441e+03  +1.04840e+00  +1.86599e-01  +1.10595e+00  +2.04623e-02
+1.22496e+03  +1.06238e+00  +1.88083e-01  +1.12079e+00  +2.09600e-02
+1.22552e+03  +1.17241e+00  +1.87384e-01  +1.11029e+00  +2.33791e-02
+1.22607e+03  +9.68628e-01  +1.87895e-01  +1.09817e+00  +2.80326e-02
+1.22662e+03  +1.22506e+00  +1.86888e-01  +1.09301e+00  +3.42824e-02
+1.22718e+03  +9.25689e-01  +1.86854e-01  +1.07072e+00  +4.38247e-02
+1.22773e+03  +8.11170e-01  +1.84534e-01  +1.03325e+00  +5.57036e-02
+1.22829e+03  +7.22891e-01  +1.85513e-01  +9.93770e-01  +6.69243e-02
+1.22884e+03  +1.02320e+00  +1.85068e-01  +9.64561e-01  +7.29504e-02
+1.22940e+03  +9.09949e-01  +1.84167e-01  +9.35905e-01  +7.32885e-02
+1.22995e+03  +9.15277e-01  +1.85738e-01  +9.07367e-01  +7.03715e-02
+1.23050e+03  +1.06932e+00  +1.85509e-01  +8.88159e-01  +6.67878e-02
+1.23106e+03  +1.19496e+00  +1.86474e-01  +8.83512e-01  +6.46250e-02
+1.23161e+03  +7.74594e-01  +1.87364e-01  +8.78209e-01  +6.32355e-02
+1.23217e+03  +7.51218e-01  +1.88110e-01  +8.63854e-01  +6.12357e-02
+1.23272e+03  +9.46049e-01  +1.88312e-01  +8.47110e-01  +5.75396e-02
+1.23328e+03  +8.23201e-01  +1.90285e-01  +8.34713e-01  +5.19210e-02
+1.23383e+03  +1.31643e+00  +1.91096e-01  +8.27898e-01  +4.69510e-02
+1.23439e+03  +6.88551e-01  +1.92665e-01  +8.22349e-01  +4.38739e-02
+1.23494e+03  +1.08879e+00  +1.94274e-01  +8.15843e-01  +4.23826e-02
+1.23549e+03  +8.76242e-01  +1.95079e-01  +8.07316e-01  +4.13654e-02
+1.23605e+03  +1.02090e+00  +1.96377e-01  +7.98171e-01  +4.01397e-02
+1.23660e+03  +9.60889e-01  +1.96333e-01  +7.96448e-01  +4.02083e-02
+1.23716e+03  +6.84051e-01  +1.96354e-01  +8.09491e-01  +4.04654e-02
+1.23771e+03  +8.91771e-01  +1.97542e-01  +8.40674e-01  +3.70791e-02
+1.23827e+03  +7.25693e-01  +1.98357e-01  +8.87768e-01  +3.10600e-02
+1.23882e+03  +9.94034e-01  +2.00094e-01  +9.56623e-01  +2.76971e-02
+1.23937e+03  +6.17010e-01  +2.00468e-01  +1.02155e+00  +2.97559e-02
+1.23993e+03  +9.60891e-01  +2.01821e-01  +1.03641e+00  +3.41359e-02
+1.24048e+03  +9.73652e-01  +2.02956e-01  +1.02719e+00  +3.96770e-02
+1.24104e+03  +1.18354e+00  +2.04085e-01  +1.02860e+00  +4.25743e-02
+1.24159e+03  +9.18301e-01  +2.06174e-01  +1.06081e+00  +3.66951e-02
+1.24215e+03  +9.47873e-01  +2.07440e-01  +1.14241e+00  +2.64033e-02
+1.24270e+03  +1.03031e+00  +2.07864e-01  +1.27437e+00  +2.56613e-02
+1.24326e+03  +1.09607e+00  +2.08031e-01  +1.38161e+00  +3.30219e-02
+1.24381e+03  +8.96215e-01  +2.06521e-01  +1.39535e+00  +3.42995e-02
+1.24436e+03  +1.09104e+00  +2.05114e-01  +1.35725e+00  +3.21286e-02
+1.24492e+03  +1.24667e+00  +2.03748e-01  +1.31068e+00  +2.93650e-02
+1.24547e+03  +1.14312e+00  +2.02017e-01  +1.26836e+00  +2.67722e-02
+1.24603e+03  +1.30361e+00  +2.01057e-01  +1.22892e+00  +2.46985e-02
+1.24658e+03  +1.23397e+00  +1.98561e-01  +1.17709e+00  +2.36920e-02
+1.24714e+03  +1.23153e+00  +1.96539e-01  +1.10650e+00  +2.60007e-02
+1.24769e+03  +1.18732e+00  +1.96123e-01  +1.07064e+00  +2.56886e-02
+1.24824e+03  +1.15518e+00  +1.95457e-01  +1.10072e+00  +1.91420e-02
+1.24880e+03  +1.25027e+00  +1.94772e-01  +1.14395e+00  +1.63772e-02
+1.24935e+03  +1.43589e+00  +1.93711e-01  +1.15359e+00  +1.62983e-02
+1.24991e+03  +1.24747e+00  +1.91543e-01  +1.13663e+00  +1.57777e-02
+1.25046e+03  +1.02263e+00  +1.90393e-01  +1.11461e+00  +1.53751e-02
+1.25102e+03  +8.89670e-01  +1.89259e-01  +1.11378e+00  +1.48953e-02
+1.25157e+03  +5.03609e-01  +1.87120e-01  +1.12364e+00  +1.49211e-02
+1.25213e+03  +5.63675e-01  +1.86473e-01  +1.12262e+00  +1.55438e-02
