### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+9.10000e+01  +2.29860e-31  +4.26768e-23  +1.96223e-08  +3.61798e-05
+9.40000e+01  +4.95134e-30  +3.73295e-22  +1.90520e-08  +3.46645e-05
+9.60000e+01  +3.93126e-29  +1.68959e-21  +2.23868e-08  +4.01370e-05
+9.80000e+01  +2.25903e-28  +5.57592e-21  +2.13156e-08  +3.67278e-05
+1.00000e+02  +2.79255e-27  +4.33191e-20  +4.84523e-08  +8.52110e-05
+1.02000e+02  +2.20334e-26  +2.14615e-19  +7.73919e-08  +1.35007e-04
+1.04000e+02  +8.32729e-26  +4.85522e-19  +6.47200e-08  +1.04054e-04
+1.06000e+02  +6.40842e-25  +2.49834e-18  +1.19669e-07  +1.93409e-04
+1.08000e+02  +7.38800e-24  +2.07482e-17  +3.57792e-07  +6.12369e-04
+1.10000e+02  +1.10335e-23  +1.48326e-17  +1.48769e-07  +1.75579e-04
+1.14000e+02  +3.67823e-22  +2.60419e-16  +4.66537e-07  +5.68221e-04
+1.18000e+02  +6.48913e-21  +1.81120e-15  +9.74197e-07  +8.55337e-04
+1.21000e+02  +6.98974e-18  +1.62437e-14  +2.41883e-04  +1.35724e-03
+1.25000e+02  +3.21896e-17  +4.93437e-14  +1.84226e-04  +1.38331e-03
+1.27000e+02  +2.14241e-17  +6.76662e-14  +5.30085e-05  +1.50744e-03
+1.28000e+02  +4.21124e-17  +6.23753e-14  +6.94906e-05  +8.97094e-04
+1.31000e+02  +1.19518e-17  +6.64948e-14  +6.17101e-06  +5.11350e-04
+1.32000e+02  +7.09450e-18  +8.93694e-14  +2.52930e-06  +5.32932e-04
+1.34000e+02  +1.85056e-17  +1.58825e-13  +3.22163e-06  +5.60141e-04
+1.37000e+02  +1.10452e-16  +5.70319e-13  +6.94174e-06  +9.44628e-04
+1.40000e+02  +8.90571e-15  +2.81399e-12  +2.15121e-04  +1.62949e-03
+1.43000e+02  +2.44003e-14  +6.43822e-12  +2.39946e-04  +2.02524e-03
+1.47000e+02  +6.00681e-14  +1.08801e-11  +1.93376e-04  +1.49245e-03
